Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
122258358636926,Sound of Freedom Movie,"Sound of Freedom, LLC",208436,51
7860876103,Joe Biden,BIDEN VICTORY FUND,38309,209
111994897803195,What's Good,Rare with Facebook Ad Credits,25436,21
107483817554072,WorkMoney,WorkMoney,25065,148
100364185463048,Angel Studios,"Angel Studios, Inc.",23342,4
106244251043808,America's Plastic Makers,"AMERICAN CHEMISTRY COUNCIL, INC.",21230,58
109263975827773,Garnier USA,Garnier USA,20176,48
118152441212175,Digital Innovation for America,Digital Innovation for America,19665,262
104623832132932,Perry Johnson,PERRY JOHNSON FOR PRESIDENT INC.,19649,23
104764865532188,,Assistance for American,19105,263
103552914774916,Science Moms,"Potential Energy Coalition, Inc. with Facebook ad credits",18450,18
102915374460262,Shell USA,Shell,18266,36
105011252173673,Assisting Americans,Assisting Americans,17031,257
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,14917,176
11465191261,JPMorgan Chase & Co.,"JPMORGAN CHASE BANK, NA",12049,13
385473284886474,Hillsdale College,Hillsdale College,11436,122
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,11360,571
76470053424,TIAA,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA,9696,16
314499212242,Pfizer,Pfizer Inc.,9321,160
123450447708791,Energy Upgrade California,California Public Utilities Commission,9001,54
431891506856669,Dove,Unilever,8662,12
6514736316,Walden University,Walden University,8520,8
100249953038234,Capital Access Alliance,Capital Access Alliance,8236,100
103875099042033,DailyWire+,The Daily Wire,8066,16
201248453800242,My Pay My Say,Mackinac Center for Public Policy,8022,28
2278338985596482,House Majority Forward,House Majority Forward,7882,58
15771560300,Earthjustice,EARTHJUSTICE,7848,137
11791104453,NRDC,Natural Resources Defense Council,7062,258
163273590367943,Elton John AIDS Foundation,ELTON JOHN AIDS FOUNDATION,7038,15
56074851990,Truth Initiative,TRUTH INITIATIVE FOUNDATION,7026,8
57259033959,AARP,AARP,6999,250
592707041080920,Stand Together,Stand Together Chamber of Commerce Inc.,6898,81
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,6860,575
18982436812,ACLU,American Civil Liberties Union,6499,67
8492293163,Environmental Defense Fund,Environmental Defense Fund,6385,138
428821014132730,Katie Porter,KATIE PORTER FOR SENATE,6347,130
114167895375664,Cherokee Nation,"CHEROKEE NATION, THE",6108,8
1589261434655726,Advocate Alliance Group,Advocate Alliance Group LLC,5905,1
92925746942,Judicial Watch,Judicial Watch,5556,114
655729801170405,Planned Parenthood Maine Action Fund,Planned Parenthood Maine Action Fund,5527,10
104095962704249,SOS America PAC,SOS America PAC,5304,98
172758932738142,PhRMA,PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,5204,27
24470472733,The Trevor Project,The Trevor Project,5166,36
12375354406,USO,United Service Organizations,5087,101
318196171580489,Ron DeSantis,Ron DeSantis for President,5065,147
203197030603239,8 Billion Trees,8 Billion Trees LLC,5013,21
7341997111,Conservation International,Conservation International with Facebook Ad Credits,4836,12
49651563727,Live Action,Live Action,4798,148
10252353761,Commonwealth Foundation,The Commonwealth Foundation,4731,46
1155212867963791,AFP Action,"AMERICANS FOR PROSPERITY ACTION, INC.(AFP ACTION)",4583,192
897994503631860,HealthInsurance.net,ASSURANCE IQ INC,4556,28
51405613519,Focus on the Family,Focus on the Family,4546,67
349068689306,Tim Scott,Tim Scott for America,4539,117
175951519123368,Delbert Hosemann,Delbert Hosemann,4521,13
110483677935904,Team DeSantis,Ron DeSantis for President,4476,211
106583555450073,Bidencare Health Plans,Obamacareplans,4450,78
117196981332058,Let's Get Loud,Let's Get Loud,4368,52
145917588805718,Dr Jordan B Peterson,The Daily Wire,4298,12
1461100540775171,The Tuttle Twins,LIBERTAS INSTITUTE,4156,132
152759126824,Enbridge,Enbridge Inc.,4141,16
30139072158,CARE,"COOPERATIVE FOR ASSISTANCE AND RELIEF EVERYWHERE, INC. (CARE)",4124,36
114720264544782,Moving Forward,Seniors Today USA,4021,240
19972147679,SEIU,SEIU,4003,64
18709174006,National Audubon Society,"NATIONAL AUDUBON SOCIETY, INC.",3977,229
46093654473,National Republican Congressional Committee,NRCC,3939,2
21492729544,Catholic Relief Services,CATHOLIC RELIEF SERVICES - UNITED STATES CONFERENCE OF CATHOLIC BISHOPS,3935,49
1632814840319802,John Fetterman,Fetterman for PA,3861,48
388608874845516,Joy Ofodu,Unilever USA,3818,3
10128918116,Gavin Newsom,Campaign for Democracy PAC,3765,15
6041057841,The Humane Society of the United States,"HUMANE SOCIETY OF THE UNITED STATES, THE",3745,38
7030901126,Campaign for Tobacco-Free Kids,Campaign for Tobacco-Free Kids,3741,46
1953081398245478,The GenderCool Project,The GenderCool Project,3688,28
168367339845613,The Humane League,"HUMANE LEAGUE, THE",3672,20
147368882623027,Black Futures Lab,Black Futures Lab,3652,17
925007000949719,ExxonMobil,EXXON MOBIL CORPORATION,3634,88
110897915362926,Keep Kids First Nebraska,Keep Kids First,3580,5
114860291568624,Defending Bluegrass Values,Defending Bluegrass Values,3572,20
340153562850578,Tim Tebow,TIM TEBOW FOUNDATION,3418,14
6204742571,Sierra Club,SIERRA CLUB,3367,20
80562389320,NARAL Pro-Choice America,NARAL PRO-CHOICE AMERICA CORP,3325,121
533987556776948,Campaign for Sustainable Rx Pricing,Campaign for Sustainable Rx Pricing,3324,77
101716172441500,Brennan Center en Español,"WILLIAM J. BRENNAN CENTER FOR JUSTICE, INC.",3298,7
23790541544,Democrats,DCCC,3269,21
114008535880,Foundation for Individual Rights and Expression,FOUNDATION FOR INDIVIDUAL RIGHTS IN EDUCATION,3137,20
153080620724,Donald J. Trump,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,3058,65
206623622690681,NYC Department of Health and Mental Hygiene,New York City Department of Health and Mental Hygiene,3007,34
1413858742171052,Melinda French Gates,Melinda French Gates,3004,17
92998331295,Make the Road New York,Make the Road New York,3001,2
102310491882678,Smart Daily Digest,Smart Daily Digest LLC,2981,16
19437978960,Chris Murphy,FRIENDS OF CHRIS MURPHY,2963,30
38471053686,Elizabeth Warren,"WARREN FOR SENATE, INC.",2959,165
112258312240526,Con Edison,"CONSOLIDATED EDISON COMPANY OF NEW YORK, INC.",2857,8
378383240440,Southern California Gas Company (SoCalGas),Southern California Gas Company,2829,15
290142351936889,Patient Rights Advocate,PATIENT RIGHTS ADVOCATE INC,2803,4
118716697842551,NC SAFE,NC Department of Public Safety,2703,8
1505244559517282,Colin Allred,COLIN ALLRED FOR SENATE,2691,14
425677887526239,NYSERDA,NYSERDA,2664,21
222964858017,UNDO,UNDO,2637,9
167239703641594,Doug Burgum,"DOUG BURGUM FOR AMERICA, INC.",2623,142
100410338482377,American Property Owners Alliance,American Property Owners Alliance,2622,18
100591845925552,EMILY's List Action,Emily's List Action,2617,48
73528878871,Center for Reproductive Rights,Center for Reproductive Rights,2612,5
127225910653607,PragerU,PragerU,2558,44
