Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
122258358636926,Sound of Freedom Movie,"Sound of Freedom, LLC",129760,37
109092142462587,Adam Schiff,SCHIFF FOR SENATE,44303,121
107483817554072,WorkMoney,WorkMoney,24996,119
102915374460262,Shell USA,Shell,17132,36
103552914774916,Science Moms,"Potential Energy Coalition, Inc. with Facebook ad credits",16984,18
106244251043808,America's Plastic Makers,"AMERICAN CHEMISTRY COUNCIL, INC.",16742,56
7860876103,Joe Biden,BIDEN VICTORY FUND,15720,162
110483677935904,Team DeSantis,Ron DeSantis for President,15348,302
109263975827773,Garnier USA,Garnier USA,14897,48
104623832132932,Perry Johnson,PERRY JOHNSON FOR PRESIDENT INC.,14510,59
111994897803195,What's Good,Rare with Facebook Ad Credits,13776,21
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,12269,129
11465191261,JPMorgan Chase & Co.,"JPMORGAN CHASE BANK, NA",12197,18
385473284886474,Hillsdale College,Hillsdale College,10127,143
12301006942,Democratic Party,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,8769,5
118152441212175,Digital Innovation for America,Digital Innovation for America,8643,222
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,8612,589
76470053424,TIAA,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA,8540,16
100249953038234,Capital Access Alliance,Capital Access Alliance,8388,119
105011252173673,Assisting Americans,Assisting Americans,8365,146
1589261434655726,Advocate Alliance Group,Advocate Alliance Group LLC,7577,2
123450447708791,Energy Upgrade California,California Public Utilities Commission,7545,54
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,7499,422
431891506856669,Dove,Unilever,7412,12
6514736316,Walden University,Walden University,7262,8
8492293163,Environmental Defense Fund,Environmental Defense Fund,7199,156
201248453800242,My Pay My Say,Mackinac Center for Public Policy,6769,28
57259033959,AARP,AARP,6643,142
11791104453,NRDC,Natural Resources Defense Council,5928,251
2278338985596482,House Majority Forward,House Majority Forward,5796,36
10128918116,Gavin Newsom,Campaign for Democracy PAC,5764,16
18982436812,ACLU,American Civil Liberties Union,5749,82
114720264544782,Moving Forward,Seniors Today USA,5548,240
92925746942,Judicial Watch,Judicial Watch,5502,114
15771560300,Earthjustice,EARTHJUSTICE,5418,179
18709174006,National Audubon Society,"NATIONAL AUDUBON SOCIETY, INC.",5377,209
428821014132730,Katie Porter,KATIE PORTER FOR SENATE,5256,105
167239703641594,Doug Burgum,"DOUG BURGUM FOR AMERICA, INC.",5004,150
104095962704249,SOS America PAC,SOS America PAC,5000,43
897994503631860,HealthInsurance.net,ASSURANCE IQ INC,4941,23
103875099042033,DailyWire+,The Daily Wire,4909,13
203197030603239,8 Billion Trees,8 Billion Trees LLC,4783,21
7030901126,Campaign for Tobacco-Free Kids,Campaign for Tobacco-Free Kids,4759,46
155555111125341,The Brooklyn Brewery,THE BROOKLYN BREWERY CORPORATION,4625,6
314499212242,Pfizer,Pfizer Inc.,4550,127
592707041080920,Stand Together,Stand Together Chamber of Commerce Inc.,4417,71
318196171580489,Ron DeSantis,Ron DeSantis for President,4243,102
172758932738142,PhRMA,PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,4138,19
100417168386329,Heal America,Stand Together Chamber of Commerce Inc.,3993,51
7341997111,Conservation International,Conservation International with Facebook Ad Credits,3982,12
1461100540775171,The Tuttle Twins,LIBERTAS INSTITUTE,3936,216
388608874845516,Joy Ofodu,Unilever USA,3774,3
30139072158,CARE,"COOPERATIVE FOR ASSISTANCE AND RELIEF EVERYWHERE, INC. (CARE)",3722,36
570092813023833,Matt Walsh,The Daily Wire,3573,41
1155212867963791,AFP Action,"AMERICANS FOR PROSPERITY ACTION, INC.(AFP ACTION)",3535,171
114860291568624,Defending Bluegrass Values,Defending Bluegrass Values,3523,20
19972147679,SEIU,SEIU,3515,65
6041057841,The Humane Society of the United States,"HUMANE SOCIETY OF THE UNITED STATES, THE",3440,51
152759126824,Enbridge,Enbridge Inc.,3420,16
101584489634833,Liberty Society,NICKEL LIMITS LLC,3385,11
100364185463048,Angel Studios,"Angel Studios, Inc.",3230,2
49651563727,Live Action,Live Action,3221,160
114167895375664,Cherokee Nation,"CHEROKEE NATION, THE",3207,6
60326619815,Asian Pacific American Institute for Congressional Studies (APAICS),Asian Pacific American Institute for Congressional Studies (APAICS),3204,98
147368882623027,Black Futures Lab,Black Futures Lab,3116,17
102310491882678,Smart Daily Digest,Smart Daily Digest LLC,3038,33
750121728449001,Rebuild SoCal,Rebuild SoCal Partnership,2993,16
145917588805718,Dr Jordan B Peterson,The Daily Wire,2939,14
80562389320,NARAL Pro-Choice America,NARAL PRO-CHOICE AMERICA CORP,2925,215
200650357207240,I Love My Freedom,I Love My Freedom,2918,107
533987556776948,Campaign for Sustainable Rx Pricing,Campaign for Sustainable Rx Pricing,2860,71
357750373755,National Domestic Workers Alliance,National Domestic Workers Alliance,2589,10
110594725386545,Tell It Like It Is PAC,Tell It Like It Is PAC,2582,10
6204742571,Sierra Club,SIERRA CLUB,2560,44
24470472733,The Trevor Project,The Trevor Project,2509,90
179590995428478,Bank of America,BANK OF AMERICA CORPORATION,2486,1
112258312240526,Con Edison,"CONSOLIDATED EDISON COMPANY OF NEW YORK, INC.",2483,8
103807629149771,Working Forests Initiative,"WORKING FOREST INITIATIVE, INC.",2480,8
21492729544,Catholic Relief Services,CATHOLIC RELIEF SERVICES - UNITED STATES CONFERENCE OF CATHOLIC BISHOPS,2464,53
109847782136071,Coalition to Stop Reckless Gambling,Coalition to Stop Reckless Gambling,2463,8
24413227922,Kamala Harris,BIDEN VICTORY FUND,2417,40
15239367801,The Wilderness Society,"WILDERNESS SOCIETY, THE",2414,84
309308412520731,Sandy Hook Promise,Sandy Hook Promise,2391,21
109407514190720,Julie Won for City Council,Won for Council,2377,4
114008535880,Foundation for Individual Rights and Expression,FOUNDATION FOR INDIVIDUAL RIGHTS IN EDUCATION,2217,20
107181128211884,Labor Strong NYC,Labor Strong 2023,2189,37
255062275778,Tim Tebow Foundation,TIM TEBOW FOUNDATION,2146,9
192448150001,Jeff Anderson & Associates,Jeffrey R Anderson PA,2140,65
570953166908066,Vivek Ramaswamy,VIVEK 2024,2132,31
81517275796,UNICEF USA,UNITED STATES FUND FOR UNICEF with Facebook Ad Credits,2100,4
7192716362,Amnesty International USA,"AMNESTY INTERNATIONAL OF THE U. S. A., INC.",2070,116
121626482110,Operation Smile,OPERATION SMILE,2060,86
102981025425963,Coalition for Environmental Equity and Economics,Environmental Justice Coalition for Water (EJCW),2028,10
23875187730,Feeding America,Feeding America,2003,12
103743768051584,New York City Civic Engagement Commission,The New York City Civic Engagement Commission,1989,8
104394262049761,Jeremy's Razors,The Daily Wire,1940,33
104760636770,Vera Institute of Justice,Vera Institute of Justice,1916,41
127225910653607,PragerU,PragerU,1912,78
2353537341582545,Proud Patriots,Proud Patriots,1894,26
109999331898234,My Affordable Care Act,The Burial Solution,1849,47
724665580887075,Planned Parenthood Texas Votes,Planned Parenthood Advocates of Texas,1814,35
1316372698453411,Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez for Congress,1801,74
109292105296240,Affordable Fuel Washington,AFFORDABLE FUEL WASHINGTON,1785,9
153080620724,Donald J. Trump,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,1774,35
69983322463,Ted Cruz,TED CRUZ FOR SENATE,1773,19
8934429638,Planned Parenthood Action,Planned Parenthood Action Fund,1759,103
1669941646417657,Senior Choice Financial,Senior Choice Financial,1758,124
580610428636345,Fight for $15,Fight for $15,1746,101
376776419037747,Turning Point USA,"Turning Point USA, Inc.",1711,40
12375354406,USO,United Service Organizations,1700,58
103375628943529,Adam Frisch,Adam for Colorado,1694,13
144105014310,Panasonic North America,Panasonic North America,1683,91
6266829799,Sherrod Brown,FRIENDS OF SHERROD BROWN,1677,47
7341997111,Conservation International,Conservation International,1670,67
100540971962779,Localyst,"Accelerate Change, Inc.",1670,22
6012633110,Communications Workers of America,"COMMUNICATIONS WORKERS OF AMERICA, AFL-CIO, CLC",1661,6
40217893542,AIPAC,AIPAC,1659,101
114646533630729,yes. every kid.,"yes. every kid, Inc.",1645,3
106583555450073,Bidencare Health Plans,Obamacareplans,1638,51
52563647525,Kyrsten Sinema,SINEMA FOR ARIZONA,1624,16
340153562850578,Tim Tebow,TIM TEBOW FOUNDATION,1613,12
118303441570966,Homeowner Smart,NATIONAL ASSOCIATION OF REALTORS,1607,13
19192438096,AAAS - The American Association for the Advancement of Science,American Association for the Advancement of Science,1594,6
8291852604,Tobacco Free Florida,Florida Department of Health Bureau of Tobacco Free Florida,1587,45
443329669123990,USAFacts,USAFacts Institute,1554,52
498221457664032,DHL U.S.,"DHL EXPRESS (USA), INC.",1550,27
111106258469664,Sexual Abuse Claim Center,Tort Group LLC,1536,10
53674651369,SBA Pro-Life America,"SUSAN B. ANTHONY LIST, INC.",1511,76
104977525752112,Freedom of Patriots,Freedom of Patriots,1495,41
372922692828,SEIU-United Healthcare Workers West,SEIU United Healthcare Workers West Local 2005,1481,51
206623622690681,NYC Department of Health and Mental Hygiene,New York City Department of Health and Mental Hygiene,1475,34
100684991996307,November Coalition,NOVEMBER COALITION,1444,4
1562713090633117,Operation Underground Railroad,OPERATION UNDERGROUND RAI,1443,32
100410338482377,American Property Owners Alliance,American Property Owners Alliance,1440,21
1747038068858379,Las Madrinas de los Seguros,"Living Secure Insurance Advisors, Inc.",1410,100
6165653060,AFSCME,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,1396,5
21375324480,The Heritage Foundation,HERITAGE FOUNDATION (THE),1390,104
103715861368344,McCormick & Company,MCCORMICK & COMPANY INC,1372,14
70874333603,CatholicVote,catholicvote.org,1362,51
1012679305536045,Elissa Slotkin,Elissa Slotkin for Michigan,1344,4
6316744206,Jon Tester,MONTANANS FOR TESTER,1340,63
103315464587143,All Access,LEADN LLC,1332,11
94999047581,California Department of Public Health,California Department of Public Health,1329,28
263964726952673,NYC Votes,New York City Campaign Finance Board,1308,20
163148530407080,Captain Mark Kelly,MARK KELLY FOR SENATE,1307,10
118124678240992,Wisconsin Chapter of the AAP,Wisconsin Chapter of the AAP,1306,21
1453660374920733,HipLatina,HipLatina,1296,8
905023632893973,Reproaction,Reproaction,1293,121
67626834312,National Women's Law Center,National Women's Law Center,1291,17
100346689495660,Pete's Pranks,Petes Pranks,1280,4
103695769458,United States Mint,United States Mint,1262,43
161183970656851,Ruben Gallego,GALLEGO FOR ARIZONA,1247,7
366741496830,Southern California Edison (SCE),Southern California Edison,1246,66
201470373308396,BMO US,BMO Harris Bank,1244,4
108774614054683,American Edge Project,American Edge,1230,51
111515841026178,Counterspark,"Counterspark, Inc.",1227,7
262741493751666,The Pew Charitable Trusts,"PEW CHARITABLE TRUSTS, THE",1211,6
7263476274,Mercy Corps,Mercy Corps,1210,96
60000664446,Alzheimer's Association,"ALZHEIMER'S DISEASE AND RELATED DISORDERS ASSOCIATION, INC.",1207,7
114981689923649,143K Rising,The Pennsylvania Coalition of Public Charter Schools,1205,8
102613481937797,Jim Pillen,Jim Pillen for Governor,1205,2
304600892905134,Hillsdale College Online Courses,HILLSDALE COLLEGE,1202,52
140357056032320,NEA Today,National Education Association,1173,15
5720973755,Defenders of Wildlife,DEFENDERS OF WILDLIFE,1172,6
203805062990264,Ben Shapiro,The Daily Wire,1163,6
68570165885,Save Our Water,California Department of Water Resources,1158,6
