Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
122258358636926,Sound of Freedom Movie,"Sound of Freedom, LLC",60092,22
570092813023833,Matt Walsh,The Daily Wire,25063,59
107483817554072,WorkMoney,WorkMoney,23487,214
106244251043808,America's Plastic Makers,"AMERICAN CHEMISTRY COUNCIL, INC.",20508,70
103552914774916,Science Moms,"Potential Energy Coalition, Inc. with Facebook ad credits",19241,6
851220855030432,J.P. Morgan,"JPMORGAN CHASE BANK, NA",16141,12
10128918116,Gavin Newsom,Campaign for Democracy PAC,15936,38
103875099042033,DailyWire+,The Daily Wire,15753,17
111994897803195,What's Good,Rare with Facebook Ad Credits,14216,21
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,12292,121
100364185463048,Angel Studios,"Angel Studios, Inc.",12248,9
12301006942,Democratic Party,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,9676,2
76470053424,TIAA,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA,9506,16
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,9409,433
192448150001,Jeff Anderson & Associates,Jeffrey R Anderson PA,9405,259
103478796015358,Neverbackdown,NEVER BACK DOWN INC.,9203,33
6514736316,Walden University,Walden University,9090,9
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,8325,268
201248453800242,My Pay My Say,Mackinac Center for Public Policy,8190,28
431891506856669,Dove,Unilever,7563,12
829786213807107,"SC Johnson, A Family Company",These ads ran without a disclaimer,7472,1
18982436812,ACLU,American Civil Liberties Union,7128,95
385473284886474,Hillsdale College,Hillsdale College,7103,96
15771560300,Earthjustice,EARTHJUSTICE,7001,146
21090771700,Gun Owners of America,Gun Owners of America,6849,36
104394262049761,Jeremy's Razors,The Daily Wire,6351,50
57259033959,AARP,AARP,6257,116
92925746942,Judicial Watch,Judicial Watch,6214,115
110483677935904,Team DeSantis,Ron DeSantis for President,6013,242
11791104453,NRDC,Natural Resources Defense Council,5994,260
18709174006,National Audubon Society,"NATIONAL AUDUBON SOCIETY, INC.",5943,265
7860876103,Joe Biden,BIDEN VICTORY FUND,5794,166
172758932738142,PhRMA,PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,5295,53
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,5190,4
388608874845516,Joy Ofodu,Unilever USA,4851,3
144105014310,Panasonic North America,Panasonic North America,4819,108
203197030603239,8 Billion Trees,8 Billion Trees LLC,4735,24
8492293163,Environmental Defense Fund,Environmental Defense Fund,4678,143
123450447708791,Energy Upgrade California,California Public Utilities Commission,4653,18
592707041080920,Stand Together,Stand Together Chamber of Commerce Inc.,4620,57
108715768240523,Citizens Bulletin,House Majority Forward,4490,36
897994503631860,HealthInsurance.net,ASSURANCE IQ INC,4360,6
349068689306,Tim Scott,Tim Scott for America,4328,75
104623832132932,Perry Johnson,PERRY JOHNSON FOR PRESIDENT INC.,4287,65
7341997111,Conservation International,Conservation International with Facebook Ad Credits,4251,12
6041057841,The Humane Society of the United States,"HUMANE SOCIETY OF THE UNITED STATES, THE",4114,59
152759126824,Enbridge,Enbridge Inc.,4039,16
6204742571,Sierra Club,SIERRA CLUB,4018,53
1461100540775171,The Tuttle Twins,LIBERTAS INSTITUTE,4016,218
166618413413767,Jay Sekulow,American Center for Law and Justice,3804,154
100249953038234,Capital Access Alliance,Capital Access Alliance,3618,88
114008535880,Foundation for Individual Rights and Expression,FOUNDATION FOR INDIVIDUAL RIGHTS IN EDUCATION,3595,27
30139072158,CARE,CARE,3466,70
102310491882678,Smart Daily Digest,Smart Daily Digest LLC,3460,23
127225910653607,PragerU,PragerU,3411,134
763823563701134,CO4Kids,Colorado Department of Human Services,3338,6
318196171580489,Ron DeSantis,Ron DeSantis for President,3285,246
1316372698453411,Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez for Congress,3272,182
106583555450073,Bidencare Health Plans,Obamacareplans,3227,84
7030901126,Campaign for Tobacco-Free Kids,Campaign for Tobacco-Free Kids,3225,28
109999331898234,My Affordable Care Act,The Burial Solution,3160,46
239452426714,American Action Network,American Action Network,3088,42
100652668612020,Essential Plastics Coalition,"CENTER FOR CONSUMER FREEDOM, THE",2965,7
147368882623027,Black Futures Lab,Black Futures Lab,2937,17
112258312240526,Con Edison,"CONSOLIDATED EDISON COMPANY OF NEW YORK, INC.",2868,9
2353537341582545,Proud Patriots,Proud Patriots,2830,161
103807629149771,Working Forests Initiative,"WORKING FOREST INITIATIVE, INC.",2784,8
160630887998827,Let Them Live,Let Them Live,2721,89
19972147679,SEIU,SEIU,2698,53
100570452873988,Courage for America,Courage for America,2669,5
23875187730,Feeding America,Feeding America,2651,12
118152441212175,Digital Innovation for America,Digital Innovation for America,2622,145
12375354406,USO,United Service Organizations,2607,60
134687123337151,CDC HIV,Centers for Disease Control and Prevention,2592,69
114860291568624,Defending Bluegrass Values,Defending Bluegrass Values,2551,20
118124678240992,Wisconsin Chapter of the AAP,Wisconsin Chapter of the AAP,2516,19
309308412520731,Sandy Hook Promise,Sandy Hook Promise,2458,21
359477377917,American Federation for Children,American Federation for Children,2422,108
376776419037747,Turning Point USA,"Turning Point USA, Inc.",2417,60
929096003945397,Free Legal Reviews,These ads ran without a disclaimer,2344,1
1942520902707477,Care in Action US,"Care in Action, Inc., 45 Broadway, Suite 320, New York, NY 10006. Not authorized by any candidate or candidate’s committee.",2333,12
104760636770,Vera Institute of Justice,Vera Institute of Justice,2305,76
7292655492,MoveOn,MOVEON.ORG POLITICAL ACTION,2251,72
11465191261,JPMorgan Chase & Co.,"JPMORGAN CHASE BANK, NA",2217,15
121626482110,Operation Smile,OPERATION SMILE,2164,76
8934429638,Planned Parenthood Action,Planned Parenthood Action Fund,2160,229
102769134675149,Evergreen Action,Evergreen Collaborative,2118,4
120945717945722,Uber,Uber,2051,20
24470472733,The Trevor Project,The Trevor Project,2036,45
111384071876588,Sarah Weinberg for Dallas ISD,SARAH WEINBERG CAMPAIGN,2025,13
580610428636345,Fight for $15,Fight for $15,2018,85
8291852604,Tobacco Free Florida,Florida Department of Health Bureau of Tobacco Free Florida,1998,45
72931140459,Center for Biological Diversity,"CENTER FOR BIOLOGICAL DIVERSITY, INC.",1981,16
314499212242,Pfizer,Pfizer Inc.,1975,132
570953166908066,Vivek Ramaswamy,VIVEK 2024,1936,38
7192716362,Amnesty International USA,"AMNESTY INTERNATIONAL OF THE U. S. A., INC.",1932,80
49651563727,Live Action,Live Action,1891,151
52563647525,Kyrsten Sinema,SINEMA FOR ARIZONA,1887,16
350502711478,ISAIAH,ISAIAH,1870,4
69983322463,Ted Cruz,TED CRUZ FOR SENATE,1866,26
100346689495660,Pete's Pranks,Petes Pranks,1833,3
110366320510798,Hold Politicians Accountable,Hold Politicians Accountable,1829,109
7263476274,Mercy Corps,Mercy Corps,1820,90
200650357207240,I Love My Freedom,I Love My Freedom,1807,46
6266829799,Sherrod Brown,FRIENDS OF SHERROD BROWN,1801,59
121093970983472,Heat Pump Nation,Heat Pump Nation,1801,1
7341997111,Conservation International,Conservation International,1788,97
103375628943529,Adam Frisch,Adam for Colorado,1780,16
304600892905134,Hillsdale College Online Courses,HILLSDALE COLLEGE,1764,51
100768036281308,Right Our Story,Right Our Story,1724,10
109292105296240,Affordable Fuel Washington,AFFORDABLE FUEL WASHINGTON,1715,9
203805062990264,Ben Shapiro,The Daily Wire,1693,12
1435071773455316,Daily Wire,The Daily Wire,1661,12
1669941646417657,Senior Choice Financial,Senior Choice Financial,1646,76
103715861368344,McCormick & Company,MCCORMICK & COMPANY INC,1637,14
140357056032320,NEA Today,National Education Association,1565,64
40217893542,AIPAC,AIPAC,1559,39
1562713090633117,Operation Underground Railroad,OPERATION UNDERGROUND RAI,1558,102
110594725386545,Tell It Like It Is PAC,Tell It Like It Is PAC,1551,7
366741496830,Southern California Edison (SCE),Southern California Edison,1524,45
70874333603,CatholicVote,catholicvote.org,1519,51
101242238726088,Power for Tomorrow,Power for Tomorrow,1499,76
100684991996307,November Coalition,NOVEMBER COALITION,1489,1
104977525752112,Freedom of Patriots,Freedom of Patriots,1452,18
122078260877783,"Clean Water, Healthy Families, Good Jobs","Our Water NJ, New Jersey Future",1450,4
1470540296409810,Fair Fight Action,FAIR FIGHT,1440,40
