Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
122258358636926,Sound of Freedom Movie,"Sound of Freedom, LLC",65830,22
10128918116,Gavin Newsom,Campaign for Democracy PAC,33982,33
107483817554072,WorkMoney,WorkMoney,24958,226
106244251043808,America's Plastic Makers,"AMERICAN CHEMISTRY COUNCIL, INC.",20584,71
103552914774916,Science Moms,"Potential Energy Coalition, Inc. with Facebook ad credits",18268,18
103875099042033,DailyWire+,The Daily Wire,17173,17
570092813023833,Matt Walsh,The Daily Wire,16169,57
851220855030432,J.P. Morgan,"JPMORGAN CHASE BANK, NA",16016,18
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,13072,120
111994897803195,What's Good,Rare with Facebook Ad Credits,10835,21
103478796015358,Neverbackdown,NEVER BACK DOWN INC.,10001,32
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,9920,585
12301006942,Democratic Party,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,9919,2
76470053424,TIAA,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA,9521,16
6514736316,Walden University,Walden University,9011,8
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,8970,357
431891506856669,Dove,Unilever,8264,12
172758932738142,PhRMA,PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,7878,55
58433611572,Seventh Generation,SEVENTH GENERATION INC,7336,4
385473284886474,Hillsdale College,Hillsdale College,7174,93
21090771700,Gun Owners of America,Gun Owners of America,6934,36
201248453800242,My Pay My Say,Mackinac Center for Public Policy,6841,28
104394262049761,Jeremy's Razors,The Daily Wire,6740,54
18982436812,ACLU,American Civil Liberties Union,6651,80
11791104453,NRDC,Natural Resources Defense Council,6314,251
123450447708791,Energy Upgrade California,California Public Utilities Commission,6235,39
57259033959,AARP,AARP,6228,115
92925746942,Judicial Watch,Judicial Watch,5958,114
7860876103,Joe Biden,BIDEN VICTORY FUND,5909,171
18709174006,National Audubon Society,"NATIONAL AUDUBON SOCIETY, INC.",5818,218
153080620724,Donald J. Trump,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,5669,28
15771560300,Earthjustice,EARTHJUSTICE,5590,149
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,5362,4
8492293163,Environmental Defense Fund,Environmental Defense Fund,5296,159
203197030603239,8 Billion Trees,8 Billion Trees LLC,5254,30
110483677935904,Team DeSantis,Ron DeSantis for President,5076,365
144105014310,Panasonic North America,Panasonic North America,4909,108
592707041080920,Stand Together,Stand Together Chamber of Commerce Inc.,4672,57
897994503631860,HealthInsurance.net,ASSURANCE IQ INC,4672,12
104623832132932,Perry Johnson,PERRY JOHNSON FOR PRESIDENT INC.,4498,71
108715768240523,Citizens Bulletin,House Majority Forward,4418,36
7341997111,Conservation International,Conservation International with Facebook Ad Credits,4289,12
1461100540775171,The Tuttle Twins,LIBERTAS INSTITUTE,4137,214
152759126824,Enbridge,Enbridge Inc.,4076,16
112049393932531,Reality Team,Reality Team,4049,25
6041057841,The Humane Society of the United States,"HUMANE SOCIETY OF THE UNITED STATES, THE",4035,76
388608874845516,Joy Ofodu,Unilever USA,4003,3
100249953038234,Capital Access Alliance,Capital Access Alliance,3948,109
104977525752112,Freedom of Patriots,Freedom of Patriots,3866,75
6204742571,Sierra Club,SIERRA CLUB,3856,57
118152441212175,Digital Innovation for America,Digital Innovation for America,3784,113
239452426714,American Action Network,American Action Network,3776,60
106583555450073,Bidencare Health Plans,Obamacareplans,3658,98
102310491882678,Smart Daily Digest,Smart Daily Digest LLC,3644,24
100364185463048,Angel Studios,"Angel Studios, Inc.",3571,1
109999331898234,My Affordable Care Act,The Burial Solution,3507,61
1316372698453411,Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez for Congress,3493,174
349068689306,Tim Scott,Tim Scott for America,3443,71
30139072158,CARE,CARE,3363,45
114008535880,Foundation for Individual Rights and Expression,FOUNDATION FOR INDIVIDUAL RIGHTS IN EDUCATION,3334,27
763823563701134,CO4Kids,Colorado Department of Human Services,3306,6
24470472733,The Trevor Project,The Trevor Project,3251,56
166618413413767,Jay Sekulow,American Center for Law and Justice,3213,152
127225910653607,PragerU,PragerU,2989,121
147368882623027,Black Futures Lab,Black Futures Lab,2927,17
929096003945397,Free Legal Reviews,These ads ran without a disclaimer,2826,1
19972147679,SEIU,SEIU,2789,55
112258312240526,Con Edison,"CONSOLIDATED EDISON COMPANY OF NEW YORK, INC.",2788,8
192448150001,Jeff Anderson & Associates,Jeffrey R Anderson PA,2785,209
100570452873988,Courage for America,Courage for America,2747,5
318196171580489,Ron DeSantis,Ron DeSantis for President,2740,281
103807629149771,Working Forests Initiative,"WORKING FOREST INITIATIVE, INC.",2737,8
23875187730,Feeding America,Feeding America,2659,12
11465191261,JPMorgan Chase & Co.,"JPMORGAN CHASE BANK, NA",2644,15
428821014132730,Katie Porter,KATIE PORTER FOR SENATE,2639,135
134687123337151,CDC HIV,Centers for Disease Control and Prevention,2619,69
192013990902459,Roy Cooper,Cooper for North Carolina,2607,6
12375354406,USO,United Service Organizations,2606,59
1155212867963791,AFP Action,"AMERICANS FOR PROSPERITY ACTION, INC.(AFP ACTION)",2573,173
118124678240992,Wisconsin Chapter of the AAP,Wisconsin Chapter of the AAP,2538,18
376776419037747,Turning Point USA,"Turning Point USA, Inc.",2478,61
309308412520731,Sandy Hook Promise,Sandy Hook Promise,2410,21
114860291568624,Defending Bluegrass Values,Defending Bluegrass Values,2364,20
2353537341582545,Proud Patriots,Proud Patriots,2312,135
1942520902707477,Care in Action US,"Care in Action, Inc., 45 Broadway, Suite 320, New York, NY 10006. Not authorized by any candidate or candidate’s committee.",2303,12
1669941646417657,Senior Choice Financial,Senior Choice Financial,2284,80
104760636770,Vera Institute of Justice,Vera Institute of Justice,2189,70
121626482110,Operation Smile,OPERATION SMILE,2120,83
102769134675149,Evergreen Action,Evergreen Collaborative,2075,4
243184199040637,Caring Across Generations,Caring Across Generations,2071,24
120945717945722,Uber,Uber,2070,20
8291852604,Tobacco Free Florida,Florida Department of Health Bureau of Tobacco Free Florida,2058,45
580610428636345,Fight for $15,Fight for $15,1980,87
8934429638,Planned Parenthood Action,Planned Parenthood Action Fund,1975,229
72931140459,Center for Biological Diversity,"CENTER FOR BIOLOGICAL DIVERSITY, INC.",1972,16
100801038449520,Natural Allies for a Clean Energy Future,"Natural Allies, Inc.",1962,16
314499212242,Pfizer,Pfizer Inc.,1925,129
7292655492,MoveOn,MOVEON.ORG POLITICAL ACTION,1925,72
570953166908066,Vivek Ramaswamy,VIVEK 2024,1919,38
52563647525,Kyrsten Sinema,SINEMA FOR ARIZONA,1906,16
7192716362,Amnesty International USA,"AMNESTY INTERNATIONAL OF THE U. S. A., INC.",1895,93
49651563727,Live Action,Live Action,1895,176
70484114314,National Multiple Sclerosis Society,These ads ran without a disclaimer,1884,1
200650357207240,I Love My Freedom,I Love My Freedom,1863,48
253312980194,Community Catalyst,COMMUNITY CATALYST INC,1857,43
69983322463,Ted Cruz,TED CRUZ FOR SENATE,1840,19
350502711478,ISAIAH,ISAIAH,1829,4
1562713090633117,Operation Underground Railroad,OPERATION UNDERGROUND RAI,1826,101
100346689495660,Pete's Pranks,Petes Pranks,1824,3
6266829799,Sherrod Brown,FRIENDS OF SHERROD BROWN,1815,59
109292105296240,Affordable Fuel Washington,AFFORDABLE FUEL WASHINGTON,1786,9
110366320510798,Hold Politicians Accountable,Hold Politicians Accountable,1779,106
111267540502019,Lynn Schulman 舒曼琳,Lynn for NYC 2023,1758,2
70874333603,CatholicVote,catholicvote.org,1744,53
7341997111,Conservation International,Conservation International,1740,94
304600892905134,Hillsdale College Online Courses,HILLSDALE COLLEGE,1740,51
100768036281308,Right Our Story,Right Our Story,1738,10
103375628943529,Adam Frisch,Adam for Colorado,1734,16
359477377917,American Federation for Children,American Federation for Children,1708,101
110594725386545,Tell It Like It Is PAC,Tell It Like It Is PAC,1685,9
7263476274,Mercy Corps,Mercy Corps,1632,87
103715861368344,McCormick & Company,MCCORMICK & COMPANY INC,1584,14
101662456150076,Elect Dennis Futch GA GOP Chairman,Dennis Futch GA GOP Chairman,1583,3
8325302025,Friends of the Earth U.S.,Friends of the Earth,1540,24
8501031021,VoteVets.org,VOTEVETS,1528,12
366741496830,Southern California Edison (SCE),Southern California Edison,1516,45
110442961603215,Yikes Today,Yikes Today,1507,25
100485764982266,Only One,Only One,1500,4
111515841026178,Counterspark,"Counterspark, Inc.",1494,33
1162286517277297,Canvass America,Canvass America,1489,3
155555111125341,The Brooklyn Brewery,THE BROOKLYN BREWERY CORPORATION,1480,4
101242238726088,Power for Tomorrow,Power for Tomorrow,1477,77
1470540296409810,Fair Fight Action,FAIR FIGHT,1469,38
40217893542,AIPAC,AIPAC,1469,38
116377308013980,Cuidemos Nuestra Agua,California Department of Water Resources,1455,10
106115601572617,Texans for Opportunity & Prosperity PAC,TEXANS FOR OPPORTUNITY AND (&) PROSPERITY PAC,1454,19
100684991996307,November Coalition,NOVEMBER COALITION,1452,1
124029605075,The Partnership to Fight Chronic Disease,The Partnership to Fight Chronic Disease,1436,3
203805062990264,Ben Shapiro,The Daily Wire,1432,12
372922692828,SEIU-United Healthcare Workers West,SEIU United Healthcare Workers West Local 2005,1423,48
1747038068858379,Las Madrinas de los Seguros,"Living Secure Insurance Advisors, Inc.",1398,99
498221457664032,DHL U.S.,"DHL EXPRESS (USA), INC.",1397,20
145917588805718,Dr Jordan B Peterson,The Daily Wire,1395,7
104094415337871,Abuse Victim Claims,Tort Group LLC,1394,7
1435071773455316,Daily Wire,The Daily Wire,1376,12
263964726952673,NYC Votes,New York City Campaign Finance Board,1369,20
24413227922,Kamala Harris,BIDEN VICTORY FUND,1367,41
201470373308396,BMO US,BMO Harris Bank,1361,4
45393753416,Alliance Defending Freedom,Alliance Defending Freedom,1350,45
103531607822207,Noticias para Inmigrantes,"Wise Rock Media, PBC",1350,73
225392700899588,Federal Motor Carrier Safety Administration,Federal Motor Carrier Safety Administration,1323,3
103743768051584,New York City Civic Engagement Commission,The New York City Civic Engagement Commission,1322,3
100652668612020,Essential Plastics Coalition,"CENTER FOR CONSUMER FREEDOM, THE",1313,7
108668858578908,Médico Cubierto,JADE Computer Services LLC,1312,6
101704558574021,Lucas Kunce,Lucas Kunce for Missouri,1300,109
140357056032320,NEA Today,National Education Association,1298,65
455362921562545,American Exploration & Production Council,American Exploration & Production Council Inc,1296,34
160630887998827,Let Them Live,Let Them Live,1295,59
104175362696063,Advantage Relief Programs,Advantage Relief Programs,1290,85
103255375067070,Supervisor Terra Lawson-Remer,Supervisor Terra Lawson-Remer,1282,15
2053678114723700,President Trump's Patriot Army,I Love My Freedom,1270,25
109092142462587,Adam Schiff,SCHIFF FOR SENATE,1245,30
111106258469664,Sexual Abuse Claim Center,Tort Group LLC,1235,4
20787991568,Senate Democrats,DSCC,1229,39
109599248636777,Consumer Credit Card Protection Coalition,CONSUMER CREDIT CARD PROTECTION COALITION,1203,46
100650352666001,Saving Made Easy,GCL Company LLC,1199,221
30618466815,Pacific Legal Foundation,Pacific Legal Foundation,1197,24
108816968416648,Care For Our Seniors,Care For Our Seniors,1192,32
35169196082,Project HOPE,"PROJECT HOPE-THE PEOPLE-TO-PEOPLE HEALTH FOUNDATION, INC.",1188,24
219242560293,Meals on Wheels America,Meals On Wheels America,1173,37
115379705206001,U.S. Department of Homeland Security Blue Campaign,U.S Department of Homeland Security Blue Campaign,1172,24
961721213983629,ExxonMobil Baton Rouge,EXXON MOBIL CORPORATION,1162,28
13885075114,Action Against Hunger USA,ACTION AGAINST HUNGER - USA,1153,93
219612384781411,Bloomberg Philanthropies,Bloomberg Philanthropies,1142,37
104295601633638,American Cornerstone Institute,American Cornerstone Institute Inc,1120,104
18813753280,Human Rights Campaign,"HUMAN RIGHTS CAMPAIGN, INC.",1106,53
101497941620428,MolinaCares,The MolinaCares Accord,1084,16
123267457850239,SC DHEC,South Carolina Department of Health & Environmental Control,1083,26
113496178208014,Protecting Our Democracy,Protecting Our Democracy,1080,15
38471053686,Elizabeth Warren,"WARREN FOR SENATE, INC.",1075,157
170591064699,Southern Poverty Law Center,"SOUTHERN POVERTY LAW CENTER, INC., THE",1071,34
191247007554047,Center of the American Experiment,Center of the American Experiment,1063,6
167586229923327,World Food Program USA,World Food Program USA,1060,10
161183970656851,Ruben Gallego,GALLEGO FOR ARIZONA,1053,13
68570165885,Save Our Water,California Department of Water Resources,1041,10
215653202574079,Future Majority,"Future Majority, Inc",1035,39
26442402549,American Hotel & Lodging Association -  AHLA,American Hotel and Lobbying Association,1019,7
101584489634833,Liberty Society,NICKEL LIMITS LLC,1010,2
114765400352270,Kite & Key Media,VMTS EDUCATION INC,993,10
103885799225717,Liberty Protector,Liberty Protector,993,49
106608038931801,Loyal Patriots,Loyal Patriots,993,15
114710126648118,Republican Dogs,Republican Dogs,984,143
197760674021143,Indivisible Guide,INDIVISIBLE ACTION,980,69
106563958759988,Semafor,Semafor Inc.,976,123
1012679305536045,Elissa Slotkin,Elissa Slotkin for Michigan,975,11
100540971962779,Localyst,"Accelerate Change, Inc.",972,4
121268821249550,World Central Kitchen,World Central Kitchen,971,30
212799632483,"SEMCOG, Southeast Michigan Council of Governments",The Southeast Michigan Council of Governments,961,7
59826489083,SELC,SOUTHERN ENVIRONMENTAL LAW CENTER,958,10
103039149150334,Medical Enrolled,Medical Enrolled,955,4
6334782252,Oceana,Oceana,953,2
121940824138795,North Carolina Association of Health Plans,"North Carolina Association of Health Plans, Inc",951,13
487571108071357,Affordable Healthcare Coalition of NC,Affordable Healthcare Coalition of NC,947,4
53674651369,SBA Pro-Life America,"SUSAN B. ANTHONY LIST, INC.",940,35
681626158940626,Mission Roll Call,Americas Warrior Partnership,937,64
100220286326917,Coalition for Fantasy Sports,Fantasy Sports Operator Coalition,934,16
