Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
122258358636926,Sound of Freedom Movie,"Sound of Freedom, LLC",67577,22
10128918116,Gavin Newsom,Campaign for Democracy PAC,36043,20
111994897803195,What's Good,Rare with Facebook Ad Credits,29399,21
107483817554072,WorkMoney,WorkMoney,27421,236
106244251043808,America's Plastic Makers,"AMERICAN CHEMISTRY COUNCIL, INC.",22382,72
103552914774916,Science Moms,"Potential Energy Coalition, Inc. with Facebook ad credits",19010,18
851220855030432,J.P. Morgan,"JPMORGAN CHASE BANK, NA",17162,12
570092813023833,Matt Walsh,The Daily Wire,14960,46
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,13089,120
103875099042033,DailyWire+,The Daily Wire,12876,11
7860876103,Joe Biden,BIDEN VICTORY FUND,11707,150
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,10936,554
76470053424,TIAA,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA,10346,16
12301006942,Democratic Party,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,9807,2
6514736316,Walden University,Walden University,9148,8
431891506856669,Dove,Unilever,8858,12
153080620724,Donald J. Trump,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,8668,24
201248453800242,My Pay My Say,Mackinac Center for Public Policy,8283,28
123450447708791,Energy Upgrade California,California Public Utilities Commission,8253,44
253312980194,Community Catalyst,COMMUNITY CATALYST INC,8083,45
385473284886474,Hillsdale College,Hillsdale College,7931,93
8492293163,Environmental Defense Fund,Environmental Defense Fund,7258,162
18982436812,ACLU,American Civil Liberties Union,7163,80
104623832132932,Perry Johnson,PERRY JOHNSON FOR PRESIDENT INC.,7056,60
21090771700,Gun Owners of America,Gun Owners of America,6963,36
57259033959,AARP,AARP,6787,116
11791104453,NRDC,Natural Resources Defense Council,6323,253
18709174006,National Audubon Society,"NATIONAL AUDUBON SOCIETY, INC.",6317,216
203197030603239,8 Billion Trees,8 Billion Trees LLC,6089,31
127225910653607,PragerU,PragerU,5957,137
92925746942,Judicial Watch,Judicial Watch,5783,111
104394262049761,Jeremy's Razors,The Daily Wire,5622,40
172758932738142,PhRMA,PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,5595,52
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,5570,3
15771560300,Earthjustice,EARTHJUSTICE,5567,139
112049393932531,Reality Team,Reality Team,5374,24
144105014310,Panasonic North America,Panasonic North America,5288,108
104977525752112,Freedom of Patriots,Freedom of Patriots,5186,69
19972147679,SEIU,SEIU,5130,63
7341997111,Conservation International,Conservation International with Facebook Ad Credits,4835,12
100364185463048,Angel Studios,"Angel Studios, Inc.",4819,1
592707041080920,Stand Together,Stand Together Chamber of Commerce Inc.,4469,55
108715768240523,Citizens Bulletin,House Majority Forward,4440,36
100249953038234,Capital Access Alliance,Capital Access Alliance,4415,67
152759126824,Enbridge,Enbridge Inc.,4407,16
1461100540775171,The Tuttle Twins,LIBERTAS INSTITUTE,4360,216
388608874845516,Joy Ofodu,Unilever USA,4305,3
118152441212175,Digital Innovation for America,Digital Innovation for America,4186,113
6041057841,The Humane Society of the United States,"HUMANE SOCIETY OF THE UNITED STATES, THE",4123,57
24470472733,The Trevor Project,The Trevor Project,3993,50
102310491882678,Smart Daily Digest,Smart Daily Digest LLC,3960,19
166618413413767,Jay Sekulow,American Center for Law and Justice,3907,153
12375354406,USO,United Service Organizations,3797,60
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,3759,310
109999331898234,My Affordable Care Act,The Burial Solution,3649,51
1316372698453411,Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez for Congress,3639,144
6204742571,Sierra Club,SIERRA CLUB,3582,54
929096003945397,Free Legal Reviews,These ads ran without a disclaimer,3555,1
114008535880,Foundation for Individual Rights and Expression,FOUNDATION FOR INDIVIDUAL RIGHTS IN EDUCATION,3349,23
110483677935904,Team DeSantis,Ron DeSantis for President,3251,200
147368882623027,Black Futures Lab,Black Futures Lab,3170,17
103807629149771,Working Forests Initiative,"WORKING FOREST INITIATIVE, INC.",3062,8
428821014132730,Katie Porter,KATIE PORTER FOR SENATE,3038,124
