Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
122258358636926,Sound of Freedom Movie,"Sound of Freedom, LLC",61354,21
111994897803195,What's Good,Rare with Facebook Ad Credits,24271,19
107581521979054,Help For Our Seniors,Help For Our Seniors,23079,142
107483817554072,WorkMoney,WorkMoney,22036,208
100364185463048,Angel Studios,"Angel Studios, Inc.",22024,8
106244251043808,America's Plastic Makers,"AMERICAN CHEMISTRY COUNCIL, INC.",20895,66
103552914774916,Science Moms,"Potential Energy Coalition, Inc. with Facebook ad credits",18459,18
103875099042033,DailyWire+,The Daily Wire,18065,21
570092813023833,Matt Walsh,The Daily Wire,16803,63
192448150001,Jeff Anderson & Associates,Jeffrey R Anderson PA,14581,257
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,13881,124
114860291568624,Defending Bluegrass Values,Defending Bluegrass Values,10545,30
127225910653607,PragerU,PragerU,10263,115
76470053424,TIAA,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA,9661,16
6514736316,Walden University,Walden University,9609,9
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,9602,429
12301006942,Democratic Party,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,8447,2
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,8130,239
431891506856669,Dove,Unilever,7880,12
18982436812,ACLU,American Civil Liberties Union,7851,94
851220855030432,J.P. Morgan,"JPMORGAN CHASE BANK, NA",7435,12
385473284886474,Hillsdale College,Hillsdale College,7196,93
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,7068,6
102589976125897,Helen Moore,These ads ran without a disclaimer,6736,41
57259033959,AARP,AARP,6386,119
92925746942,Judicial Watch,Judicial Watch,6264,116
18709174006,National Audubon Society,"NATIONAL AUDUBON SOCIETY, INC.",5804,274
172758932738142,PhRMA,PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,5633,58
11791104453,NRDC,Natural Resources Defense Council,5524,254
897994503631860,HealthInsurance.net,ASSURANCE IQ INC,5436,6
12375354406,USO,United Service Organizations,5207,78
104394262049761,Jeremy's Razors,The Daily Wire,5159,49
15771560300,Earthjustice,EARTHJUSTICE,4953,145
592707041080920,Stand Together,Stand Together Chamber of Commerce Inc.,4852,56
8492293163,Environmental Defense Fund,Environmental Defense Fund,4674,189
388608874845516,Joy Ofodu,Unilever USA,4575,3
203197030603239,8 Billion Trees,8 Billion Trees LLC,4561,19
108715768240523,Citizens Bulletin,House Majority Forward,4483,36
428821014132730,Katie Porter,KATIE PORTER FOR SENATE,4372,188
6204742571,Sierra Club,SIERRA CLUB,4324,59
7341997111,Conservation International,Conservation International with Facebook Ad Credits,4125,12
152759126824,Enbridge,Enbridge Inc.,4117,16
1461100540775171,The Tuttle Twins,LIBERTAS INSTITUTE,4044,218
104623832132932,Perry Johnson,PERRY JOHNSON FOR PRESIDENT INC.,4009,42
6041057841,The Humane Society of the United States,"HUMANE SOCIETY OF THE UNITED STATES, THE",3995,61
2353537341582545,Proud Patriots,Proud Patriots,3822,56
925007000949719,ExxonMobil,EXXON MOBIL CORPORATION,3723,76
100249953038234,Capital Access Alliance,Capital Access Alliance,3707,74
