Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
122258358636926,Sound of Freedom Movie,"Sound of Freedom, LLC",80426,29
100521932630618,Caring For Our Seniors,Caring For Our Seniors,32870,75
107483817554072,WorkMoney,WorkMoney,26521,165
106244251043808,America's Plastic Makers,"AMERICAN CHEMISTRY COUNCIL, INC.",20128,130
111994897803195,What's Good,Rare with Facebook Ad Credits,18608,21
103552914774916,Science Moms,"Potential Energy Coalition, Inc. with Facebook ad credits",17655,18
851220855030432,J.P. Morgan,"JPMORGAN CHASE BANK, NA",16139,12
70874333603,CatholicVote,catholicvote.org,15794,58
7860876103,Joe Biden,BIDEN VICTORY FUND,14533,160
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,13087,142
570092813023833,Matt Walsh,The Daily Wire,11805,56
100417168386329,Heal America,Stand Together Chamber of Commerce Inc.,11631,109
10128918116,Gavin Newsom,Campaign for Democracy PAC,11063,11
100364185463048,Angel Studios,"Angel Studios, Inc.",10939,3
153080620724,Donald J. Trump,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,9923,60
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,9896,611
1255705481272786,America250,AMERICA 250 FOUNDATION INC,9479,1
76470053424,TIAA,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA,9479,16
6514736316,Walden University,Walden University,8499,8
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,8434,424
104977525752112,Freedom of Patriots,Freedom of Patriots,8211,159
8492293163,Environmental Defense Fund,Environmental Defense Fund,8136,152
123450447708791,Energy Upgrade California,California Public Utilities Commission,7822,44
431891506856669,Dove,Unilever,7734,12
110483677935904,Team DeSantis,Ron DeSantis for President,7724,298
201248453800242,My Pay My Say,Mackinac Center for Public Policy,7686,28
243184199040637,Caring Across Generations,Caring Across Generations,7535,45
104623832132932,Perry Johnson,PERRY JOHNSON FOR PRESIDENT INC.,7480,98
385473284886474,Hillsdale College,Hillsdale College,7405,93
203197030603239,8 Billion Trees,8 Billion Trees LLC,7224,31
57259033959,AARP,AARP,6679,142
18982436812,ACLU,American Civil Liberties Union,6574,85
100249953038234,Capital Access Alliance,Capital Access Alliance,6541,125
11791104453,NRDC,Natural Resources Defense Council,5980,248
92925746942,Judicial Watch,Judicial Watch,5895,112
103255375067070,Supervisor Terra Lawson-Remer,Supervisor Terra Lawson-Remer,5684,15
592707041080920,Stand Together,Stand Together Chamber of Commerce Inc.,5608,58
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,5591,3
19972147679,SEIU,SEIU,5566,72
18709174006,National Audubon Society,"NATIONAL AUDUBON SOCIETY, INC.",5542,355
15771560300,Earthjustice,EARTHJUSTICE,5325,141
106583555450073,Bidencare Health Plans,Obamacareplans,5248,110
127225910653607,PragerU,PragerU,5082,135
107581521979054,Help For Our Seniors,Help For Our Seniors,5080,8
580610428636345,Fight for $15,Fight for $15,5016,122
1005566252861190,VOTEPROCHOICE,#VOTEPROCHOICE PAC,5000,2
172758932738142,PhRMA,PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,4992,53
144105014310,Panasonic North America,Panasonic North America,4977,104
109092142462587,Adam Schiff,SCHIFF FOR SENATE,4790,15
7341997111,Conservation International,Conservation International with Facebook Ad Credits,4686,12
388608874845516,Joy Ofodu,Unilever USA,4633,3
897994503631860,HealthInsurance.net,ASSURANCE IQ INC,4550,12
114167895375664,Cherokee Nation,"CHEROKEE NATION, THE",4487,8
7030901126,Campaign for Tobacco-Free Kids,Campaign for Tobacco-Free Kids,4459,25
103875099042033,DailyWire+,The Daily Wire,4344,11
67626834312,National Women's Law Center,National Women's Law Center,4336,32
1461100540775171,The Tuttle Twins,LIBERTAS INSTITUTE,4102,218
118152441212175,Digital Innovation for America,Digital Innovation for America,3837,113
152759126824,Enbridge,Enbridge Inc.,3825,16
