Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
122258358636926,Sound of Freedom Movie,"Sound of Freedom, LLC",77777,27
100521932630618,Caring For Our Seniors,Caring For Our Seniors,34233,222
107483817554072,WorkMoney,WorkMoney,27526,193
111994897803195,What's Good,Rare with Facebook Ad Credits,25216,21
106244251043808,America's Plastic Makers,"AMERICAN CHEMISTRY COUNCIL, INC.",20556,67
103552914774916,Science Moms,"Potential Energy Coalition, Inc. with Facebook ad credits",18229,18
851220855030432,J.P. Morgan,"JPMORGAN CHASE BANK, NA",16096,12
30139072158,CARE,"COOPERATIVE FOR ASSISTANCE AND RELIEF EVERYWHERE, INC. (CARE)",16039,40
7860876103,Joe Biden,BIDEN VICTORY FUND,14845,167
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,13487,126
153080620724,Donald J. Trump,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,13171,22
570092813023833,Matt Walsh,The Daily Wire,11842,55
10128918116,Gavin Newsom,Campaign for Democracy PAC,11762,14
110483677935904,Team DeSantis,Ron DeSantis for President,10271,243
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,9977,590
76470053424,TIAA,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA,9521,16
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,8663,423
6514736316,Walden University,Walden University,8622,8
100364185463048,Angel Studios,"Angel Studios, Inc.",8600,1
123450447708791,Energy Upgrade California,California Public Utilities Commission,8087,44
201248453800242,My Pay My Say,Mackinac Center for Public Policy,8029,28
100417168386329,Heal America,Stand Together Chamber of Commerce Inc.,7892,98
243184199040637,Caring Across Generations,Caring Across Generations,7820,48
70874333603,CatholicVote,catholicvote.org,7781,62
431891506856669,Dove,Unilever,7653,12
100249953038234,Capital Access Alliance,Capital Access Alliance,7633,123
104623832132932,Perry Johnson,PERRY JOHNSON FOR PRESIDENT INC.,7597,112
385473284886474,Hillsdale College,Hillsdale College,7374,93
8492293163,Environmental Defense Fund,Environmental Defense Fund,7361,158
203197030603239,8 Billion Trees,8 Billion Trees LLC,7022,31
18982436812,ACLU,American Civil Liberties Union,6698,82
104977525752112,Freedom of Patriots,Freedom of Patriots,6595,141
11791104453,NRDC,Natural Resources Defense Council,6590,247
57259033959,AARP,AARP,6067,114
92925746942,Judicial Watch,Judicial Watch,6007,110
18709174006,National Audubon Society,"NATIONAL AUDUBON SOCIETY, INC.",5892,198
127225910653607,PragerU,PragerU,5578,138
897994503631860,HealthInsurance.net,ASSURANCE IQ INC,5479,12
19972147679,SEIU,SEIU,5456,71
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,5437,3
592707041080920,Stand Together,Stand Together Chamber of Commerce Inc.,5400,56
15771560300,Earthjustice,EARTHJUSTICE,5381,129
103875099042033,DailyWire+,The Daily Wire,5350,11
172758932738142,PhRMA,PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,5221,52
144105014310,Panasonic North America,Panasonic North America,5041,193
104394262049761,Jeremy's Razors,The Daily Wire,4917,44
1005566252861190,VOTEPROCHOICE,#VOTEPROCHOICE PAC,4755,2
101584489634833,Liberty Society,NICKEL LIMITS LLC,4751,6
388608874845516,Joy Ofodu,Unilever USA,4595,3
7341997111,Conservation International,Conservation International with Facebook Ad Credits,4593,12
6204742571,Sierra Club,SIERRA CLUB,4351,68
1155212867963791,AFP Action,"AMERICANS FOR PROSPERITY ACTION, INC.(AFP ACTION)",4302,174
318196171580489,Ron DeSantis,Ron DeSantis for President,4248,177
152759126824,Enbridge,Enbridge Inc.,4135,16
1461100540775171,The Tuttle Twins,LIBERTAS INSTITUTE,4095,218
580610428636345,Fight for $15,Fight for $15,4023,120
114167895375664,Cherokee Nation,"CHEROKEE NATION, THE",3956,7
118152441212175,Digital Innovation for America,Digital Innovation for America,3934,113
12375354406,USO,United Service Organizations,3861,60
106583555450073,Bidencare Health Plans,Obamacareplans,3843,98
103255375067070,Supervisor Terra Lawson-Remer,Supervisor Terra Lawson-Remer,3804,15
24470472733,The Trevor Project,The Trevor Project,3682,58
6041057841,The Humane Society of the United States,"HUMANE SOCIETY OF THE UNITED STATES, THE",3614,56
114008535880,Foundation for Individual Rights and Expression,FOUNDATION FOR INDIVIDUAL RIGHTS IN EDUCATION,3598,23
102310491882678,Smart Daily Digest,Smart Daily Digest LLC,3548,22
114860291568624,Defending Bluegrass Values,Defending Bluegrass Values,3395,20
147368882623027,Black Futures Lab,Black Futures Lab,3086,17
112258312240526,Con Edison,"CONSOLIDATED EDISON COMPANY OF NEW YORK, INC.",2969,9
7263476274,Mercy Corps,Mercy Corps,2961,82
112600915451330,No Labels,No Labels,2934,5
102887259504735,Virginia Federation for Children PAC,Virginia Federation for Children PAC,2920,7
8501031021,VoteVets.org,VOTEVETS,2895,9
103807629149771,Working Forests Initiative,"WORKING FOREST INITIATIVE, INC.",2847,8
7030901126,Campaign for Tobacco-Free Kids,Campaign for Tobacco-Free Kids,2764,23
92998331295,Make the Road New York,Make the Road New York,2739,2
104760636770,Vera Institute of Justice,Vera Institute of Justice,2725,74
428821014132730,Katie Porter,KATIE PORTER FOR SENATE,2709,112
103743768051584,New York City Civic Engagement Commission,The New York City Civic Engagement Commission,2692,9
100518736329060,Wisconsin Coalition for Education Freedom,Wisconsin Coalition for Education Freedom,2667,3
750121728449001,Rebuild SoCal,Rebuild SoCal Partnership,2659,16
161183970656851,Ruben Gallego,GALLEGO FOR ARIZONA,2646,11
11465191261,JPMorgan Chase & Co.,"JPMORGAN CHASE BANK, NA",2646,15
192013990902459,Roy Cooper,Cooper for North Carolina,2646,5
376776419037747,Turning Point USA,"Turning Point USA, Inc.",2593,55
192448150001,Jeff Anderson & Associates,Jeffrey R Anderson PA,2530,212
309308412520731,Sandy Hook Promise,Sandy Hook Promise,2486,21
104095962704249,SOS America PAC,SOS America PAC,2449,2
109736674813587,US MADE Coalition,"US Manufacturers Association for Development and Enterprise, Inc.",2400,20
40217893542,AIPAC,AIPAC,2361,124
1316372698453411,Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez for Congress,2289,108
23875187730,Feeding America,Feeding America,2178,12
100346689495660,Pete's Pranks,Petes Pranks,2172,4
121626482110,Operation Smile,OPERATION SMILE,2145,77
49651563727,Live Action,Live Action,2105,160
