Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
122258358636926,Sound of Freedom Movie,"Sound of Freedom, LLC",65898,22
10128918116,Gavin Newsom,Campaign for Democracy PAC,35555,27
107483817554072,WorkMoney,WorkMoney,25171,234
111994897803195,What's Good,Rare with Facebook Ad Credits,24799,21
106244251043808,America's Plastic Makers,"AMERICAN CHEMISTRY COUNCIL, INC.",21169,72
103552914774916,Science Moms,"Potential Energy Coalition, Inc. with Facebook ad credits",17879,18
851220855030432,J.P. Morgan,"JPMORGAN CHASE BANK, NA",16834,12
103875099042033,DailyWire+,The Daily Wire,15345,15
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,13162,120
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,11841,385
570092813023833,Matt Walsh,The Daily Wire,10691,53
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,10326,598
12301006942,Democratic Party,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,10035,2
76470053424,TIAA,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA,9439,16
153080620724,Donald J. Trump,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,9342,28
6514736316,Walden University,Walden University,9258,8
103478796015358,Neverbackdown,NEVER BACK DOWN INC.,8586,33
431891506856669,Dove,Unilever,8550,12
7860876103,Joe Biden,BIDEN VICTORY FUND,8395,150
201248453800242,My Pay My Say,Mackinac Center for Public Policy,7963,28
253312980194,Community Catalyst,COMMUNITY CATALYST INC,7843,46
385473284886474,Hillsdale College,Hillsdale College,7559,93
8492293163,Environmental Defense Fund,Environmental Defense Fund,7164,158
18982436812,ACLU,American Civil Liberties Union,6692,80
21090771700,Gun Owners of America,Gun Owners of America,6586,36
123450447708791,Energy Upgrade California,California Public Utilities Commission,6536,44
57259033959,AARP,AARP,6415,115
11791104453,NRDC,Natural Resources Defense Council,6098,254
18709174006,National Audubon Society,"NATIONAL AUDUBON SOCIETY, INC.",6028,213
203197030603239,8 Billion Trees,8 Billion Trees LLC,6025,31
104623832132932,Perry Johnson,PERRY JOHNSON FOR PRESIDENT INC.,5691,69
110483677935904,Team DeSantis,Ron DeSantis for President,5628,234
127225910653607,PragerU,PragerU,5596,120
92925746942,Judicial Watch,Judicial Watch,5520,110
104394262049761,Jeremy's Razors,The Daily Wire,5396,47
15771560300,Earthjustice,EARTHJUSTICE,5296,139
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,5193,3
172758932738142,PhRMA,PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,5169,52
144105014310,Panasonic North America,Panasonic North America,5101,108
19972147679,SEIU,SEIU,4732,64
592707041080920,Stand Together,Stand Together Chamber of Commerce Inc.,4677,55
112049393932531,Reality Team,Reality Team,4591,25
100364185463048,Angel Studios,"Angel Studios, Inc.",4550,1
104977525752112,Freedom of Patriots,Freedom of Patriots,4485,71
1155212867963791,AFP Action,"AMERICANS FOR PROSPERITY ACTION, INC.(AFP ACTION)",4428,173
108715768240523,Citizens Bulletin,House Majority Forward,4381,36
100249953038234,Capital Access Alliance,Capital Access Alliance,4361,106
7341997111,Conservation International,Conservation International with Facebook Ad Credits,4347,12
152759126824,Enbridge,Enbridge Inc.,4272,16
388608874845516,Joy Ofodu,Unilever USA,4102,3
1461100540775171,The Tuttle Twins,LIBERTAS INSTITUTE,4084,216
118152441212175,Digital Innovation for America,Digital Innovation for America,4037,113
109999331898234,My Affordable Care Act,The Burial Solution,3619,51
6041057841,The Humane Society of the United States,"HUMANE SOCIETY OF THE UNITED STATES, THE",3606,57
102310491882678,Smart Daily Digest,Smart Daily Digest LLC,3544,20
24470472733,The Trevor Project,The Trevor Project,3542,50
12375354406,USO,United Service Organizations,3535,60
6204742571,Sierra Club,SIERRA CLUB,3494,55
30139072158,CARE,CARE,3485,45
763823563701134,CO4Kids,Colorado Department of Human Services,3377,6
166618413413767,Jay Sekulow,American Center for Law and Justice,3257,153
349068689306,Tim Scott,Tim Scott for America,3151,67
1316372698453411,Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez for Congress,3098,163
147368882623027,Black Futures Lab,Black Futures Lab,3005,17
114008535880,Foundation for Individual Rights and Expression,FOUNDATION FOR INDIVIDUAL RIGHTS IN EDUCATION,3005,23
929096003945397,Free Legal Reviews,These ads ran without a disclaimer,2980,1
428821014132730,Katie Porter,KATIE PORTER FOR SENATE,2907,124
103807629149771,Working Forests Initiative,"WORKING FOREST INITIATIVE, INC.",2865,8
192448150001,Jeff Anderson & Associates,Jeffrey R Anderson PA,2790,209
239452426714,American Action Network,American Action Network,2779,42
112258312240526,Con Edison,"CONSOLIDATED EDISON COMPANY OF NEW YORK, INC.",2756,8
11465191261,JPMorgan Chase & Co.,"JPMORGAN CHASE BANK, NA",2751,15
23875187730,Feeding America,Feeding America,2657,12
192013990902459,Roy Cooper,Cooper for North Carolina,2610,6
118124678240992,Wisconsin Chapter of the AAP,Wisconsin Chapter of the AAP,2592,18
115095184922874,Smartsolarusa,These ads ran without a disclaimer,2588,52
376776419037747,Turning Point USA,"Turning Point USA, Inc.",2566,65
114860291568624,Defending Bluegrass Values,Defending Bluegrass Values,2401,20
309308412520731,Sandy Hook Promise,Sandy Hook Promise,2397,21
200650357207240,I Love My Freedom,I Love My Freedom,2365,59
318196171580489,Ron DeSantis,Ron DeSantis for President,2352,138
7263476274,Mercy Corps,Mercy Corps,2343,91
110594725386545,Tell It Like It Is PAC,Tell It Like It Is PAC,2343,10
104760636770,Vera Institute of Justice,Vera Institute of Justice,2332,64
121626482110,Operation Smile,OPERATION SMILE,2250,80
167239703641594,Doug Burgum,"DOUG BURGUM FOR AMERICA, INC.",2221,18
102769134675149,Evergreen Action,Evergreen Collaborative,2209,4
120945717945722,Uber,Uber,2189,20
101662456150076,Elect Dennis Futch GA GOP Chairman,Dennis Futch GA GOP Chairman,2151,3
100570452873988,Courage for America,Courage for America,2110,5
580610428636345,Fight for $15,Fight for $15,2108,85
350502711478,ISAIAH,ISAIAH,2103,4
8291852604,Tobacco Free Florida,Florida Department of Health Bureau of Tobacco Free Florida,2043,45
243184199040637,Caring Across Generations,Caring Across Generations,2040,24
1669941646417657,Senior Choice Financial,Senior Choice Financial,2012,79
8934429638,Planned Parenthood Action,Planned Parenthood Action Fund,1996,226
70484114314,National Multiple Sclerosis Society,These ads ran without a disclaimer,1977,1
314499212242,Pfizer,Pfizer Inc.,1972,131
2353537341582545,Proud Patriots,Proud Patriots,1965,77
69983322463,Ted Cruz,TED CRUZ FOR SENATE,1927,20
49651563727,Live Action,Live Action,1920,160
1942520902707477,Care in Action US,"Care in Action, Inc., 45 Broadway, Suite 320, New York, NY 10006. Not authorized by any candidate or candidate’s committee.",1913,12
570953166908066,Vivek Ramaswamy,VIVEK 2024,1907,38
52563647525,Kyrsten Sinema,SINEMA FOR ARIZONA,1906,16
7192716362,Amnesty International USA,"AMNESTY INTERNATIONAL OF THE U. S. A., INC.",1887,58
70874333603,CatholicVote,catholicvote.org,1875,54
6266829799,Sherrod Brown,FRIENDS OF SHERROD BROWN,1870,59
72931140459,Center for Biological Diversity,"CENTER FOR BIOLOGICAL DIVERSITY, INC.",1866,16
100801038449520,Natural Allies for a Clean Energy Future,"Natural Allies, Inc.",1853,10
1562713090633117,Operation Underground Railroad,OPERATION UNDERGROUND RAI,1849,98
304600892905134,Hillsdale College Online Courses,HILLSDALE COLLEGE,1835,51
100768036281308,Right Our Story,Right Our Story,1806,10
100346689495660,Pete's Pranks,Petes Pranks,1800,3
103715861368344,McCormick & Company,MCCORMICK & COMPANY INC,1736,14
110366320510798,Hold Politicians Accountable,Hold Politicians Accountable,1723,87
111515841026178,Counterspark,"Counterspark, Inc.",1712,33
7292655492,MoveOn,MOVEON.ORG POLITICAL ACTION,1707,69
109292105296240,Affordable Fuel Washington,AFFORDABLE FUEL WASHINGTON,1704,9
359477377917,American Federation for Children,American Federation for Children,1677,93
7341997111,Conservation International,Conservation International,1671,97
103375628943529,Adam Frisch,Adam for Colorado,1641,15
8325302025,Friends of the Earth U.S.,Friends of the Earth,1621,25
498221457664032,DHL U.S.,"DHL EXPRESS (USA), INC.",1617,20
101242238726088,Power for Tomorrow,Power for Tomorrow,1602,79
366741496830,Southern California Edison (SCE),Southern California Edison,1578,45
40217893542,AIPAC,AIPAC,1571,43
1162286517277297,Canvass America,Canvass America,1536,3
101704558574021,Lucas Kunce,Lucas Kunce for Missouri,1527,44
106115601572617,Texans for Opportunity & Prosperity PAC,TEXANS FOR OPPORTUNITY AND (&) PROSPERITY PAC,1520,19
1470540296409810,Fair Fight Action,FAIR FIGHT,1520,37
155555111125341,The Brooklyn Brewery,THE BROOKLYN BREWERY CORPORATION,1510,4
8501031021,VoteVets.org,VOTEVETS,1509,7
103743768051584,New York City Civic Engagement Commission,The New York City Civic Engagement Commission,1484,3
112600915451330,No Labels,No Labels,1476,8
263964726952673,NYC Votes,New York City Campaign Finance Board,1467,20
124029605075,The Partnership to Fight Chronic Disease,The Partnership to Fight Chronic Disease,1463,3
372922692828,SEIU-United Healthcare Workers West,SEIU United Healthcare Workers West Local 2005,1452,48
116377308013980,Cuidemos Nuestra Agua,California Department of Water Resources,1430,10
104094415337871,Abuse Victim Claims,Tort Group LLC,1423,7
201470373308396,BMO US,BMO Harris Bank,1407,4
1747038068858379,Las Madrinas de los Seguros,"Living Secure Insurance Advisors, Inc.",1394,99
702582586516561,CBN Israel,The Christian Broadcasting Network,1391,4
103255375067070,Supervisor Terra Lawson-Remer,Supervisor Terra Lawson-Remer,1376,15
455362921562545,American Exploration & Production Council,American Exploration & Production Council Inc,1349,34
100684991996307,November Coalition,NOVEMBER COALITION,1341,1
724665580887075,Planned Parenthood Texas Votes,Planned Parenthood Advocates of Texas,1332,37
103531607822207,Noticias para Inmigrantes,"Wise Rock Media, PBC",1323,53
145917588805718,Dr Jordan B Peterson,The Daily Wire,1321,7
35169196082,Project HOPE,"PROJECT HOPE-THE PEOPLE-TO-PEOPLE HEALTH FOUNDATION, INC.",1285,24
2053678114723700,President Trump's Patriot Army,I Love My Freedom,1278,29
45393753416,Alliance Defending Freedom,Alliance Defending Freedom,1276,44
225392700899588,Federal Motor Carrier Safety Administration,Federal Motor Carrier Safety Administration,1253,3
24413227922,Kamala Harris,BIDEN VICTORY FUND,1238,51
109599248636777,Consumer Credit Card Protection Coalition,CONSUMER CREDIT CARD PROTECTION COALITION,1237,46
961721213983629,ExxonMobil Baton Rouge,EXXON MOBIL CORPORATION,1237,27
115379705206001,U.S. Department of Homeland Security Blue Campaign,U.S Department of Homeland Security Blue Campaign,1236,24
134687123337151,CDC HIV,Centers for Disease Control and Prevention,1235,48
203805062990264,Ben Shapiro,The Daily Wire,1201,11
111106258469664,Sexual Abuse Claim Center,Tort Group LLC,1196,4
13885075114,Action Against Hunger USA,ACTION AGAINST HUNGER - USA,1177,92
20787991568,Senate Democrats,DSCC,1174,39
219242560293,Meals on Wheels America,Meals On Wheels America,1163,35
104295601633638,American Cornerstone Institute,American Cornerstone Institute Inc,1158,106
170591064699,Southern Poverty Law Center,"SOUTHERN POVERTY LAW CENTER, INC., THE",1154,34
1435071773455316,Daily Wire,The Daily Wire,1154,12
140357056032320,NEA Today,National Education Association,1127,13
38471053686,Elizabeth Warren,"WARREN FOR SENATE, INC.",1109,160
18813753280,Human Rights Campaign,"HUMAN RIGHTS CAMPAIGN, INC.",1108,46
292351509697,Jerusalem Prayer Team,Jerusalem Prayer Team,1103,33
110442961603215,Yikes Today,Yikes Today,1098,29
101497941620428,MolinaCares,The MolinaCares Accord,1096,15
167586229923327,World Food Program USA,World Food Program USA,1087,10
85452072376,NEWSMAX,"NEWSMAX MEDIA, INC.",1075,24
114765400352270,Kite & Key Media,VMTS EDUCATION INC,1068,10
123267457850239,SC DHEC,South Carolina Department of Health & Environmental Control,1065,26
102613481937797,Jim Pillen,Jim Pillen for Governor,1063,1
113496178208014,Protecting Our Democracy,Protecting Our Democracy,1062,15
26442402549,American Hotel & Lodging Association -  AHLA,American Hotel and Lobbying Association,1062,7
191247007554047,Center of the American Experiment,Center of the American Experiment,1056,6
