Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
122258358636926,Sound of Freedom Movie,"Sound of Freedom, LLC",411114,77
100364185463048,Angel Studios,"Angel Studios, Inc.",58676,8
104764865532188,Assistance for American,Assistance for American,33597,152
107483817554072,WorkMoney,WorkMoney,24598,43
118152441212175,Digital Innovation for America,Digital Innovation for America,19613,255
7860876103,Joe Biden,BIDEN VICTORY FUND,18730,135
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,18170,197
1255705481272786,America250,AMERICA 250 FOUNDATION INC,17584,102
102915374460262,Shell USA,Shell,17579,36
103875099042033,DailyWire+,The Daily Wire,17517,16
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,15710,180
12375354406,USO,United Service Organizations,13440,56
11465191261,JPMorgan Chase & Co.,"JPMORGAN CHASE BANK, NA",12202,13
145917588805718,Dr Jordan B Peterson,The Daily Wire,9109,13
123450447708791,Energy Upgrade California,California Public Utilities Commission,8910,59
1155212867963791,AFP Action,"AMERICANS FOR PROSPERITY ACTION, INC.(AFP ACTION)",8580,237
385473284886474,Hillsdale College,Hillsdale College,8446,116
6514736316,Walden University,Walden University,7867,8
201248453800242,My Pay My Say,Mackinac Center for Public Policy,7839,28
100249953038234,Capital Access Alliance,Capital Access Alliance,7315,131
106244251043808,America's Plastic Makers,"AMERICAN CHEMISTRY COUNCIL, INC.",7233,122
10128918116,Gavin Newsom,Campaign for Democracy Committee,6968,9
135880909935010,Francis Suarez,"SUAREZ FOR PRESIDENT, INC.",6837,72
897994503631860,HealthInsurance.net,ASSURANCE IQ INC,6609,21
314499212242,Pfizer,Pfizer Inc.,6474,117
18982436812,ACLU,American Civil Liberties Union,6346,59
8492293163,Environmental Defense Fund,Environmental Defense Fund,6265,142
153080620724,Donald J. Trump,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,6073,65
167239703641594,Doug Burgum,"DOUG BURGUM FOR AMERICA, INC.",6000,111
1589261434655726,Advocate Alliance Group,Advocate Alliance Group LLC,5968,1
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,5913,365
92925746942,Judicial Watch,Judicial Watch,5783,112
655729801170405,Planned Parenthood Maine Action Fund,Planned Parenthood Maine Action Fund,5644,10
203197030603239,8 Billion Trees,8 Billion Trees LLC,5389,25
104095962704249,SOS America PAC,SOS America PAC,5368,208
172758932738142,PhRMA,PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,5044,27
592707041080920,Stand Together,Stand Together Chamber of Commerce Inc.,4998,90
1461100540775171,The Tuttle Twins,LIBERTAS INSTITUTE,4141,136
152759126824,Enbridge,Enbridge Inc.,4077,16
200650357207240,I Love My Freedom,I Love My Freedom,4048,71
175951519123368,Delbert Hosemann,Delbert Hosemann,3975,10
6041057841,The Humane Society of the United States,"HUMANE SOCIETY OF THE UNITED STATES, THE",3793,41
21492729544,Catholic Relief Services,CATHOLIC RELIEF SERVICES - UNITED STATES CONFERENCE OF CATHOLIC BISHOPS,3761,46
6204742571,Sierra Club,SIERRA CLUB,3724,32
147368882623027,Black Futures Lab,Black Futures Lab,3658,17
192448150001,Jeff Anderson & Associates,Jeffrey R Anderson PA,3549,64
111096474688748,Solar Savings Program,These ads ran without a disclaimer,3485,18
127225910653607,PragerU,PragerU,3440,59
1562713090633117,Operation Underground Railroad,OPERATION UNDERGROUND RAI,3374,39
57259033959,AARP,AARP,3306,93
109999331898234,My Affordable Care Act,The Burial Solution,3285,41
533987556776948,Campaign for Sustainable Rx Pricing,Campaign for Sustainable Rx Pricing,3153,77
106583555450073,Bidencare Health Plans,Obamacareplans,3126,72
102310491882678,Smart Daily Digest,Smart Daily Digest LLC,3070,18
109847782136071,Coalition to Stop Reckless Gambling,Coalition to Stop Reckless Gambling,3034,12
100591845925552,EMILY's List Action,Emily's List Action,2954,36
2353537341582545,Proud Patriots,Proud Patriots,2947,40
76470053424,TIAA,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA,2888,16
