Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
122258358636926,Sound of Freedom Movie,"Sound of Freedom, LLC",71304,26
111994897803195,What's Good,Rare with Facebook Ad Credits,29056,21
100521932630618,Caring For Our Seniors,Caring For Our Seniors,26068,151
107483817554072,WorkMoney,WorkMoney,25002,196
106244251043808,America's Plastic Makers,"AMERICAN CHEMISTRY COUNCIL, INC.",18670,76
103552914774916,Science Moms,"Potential Energy Coalition, Inc. with Facebook ad credits",18587,18
851220855030432,J.P. Morgan,"JPMORGAN CHASE BANK, NA",16675,12
10128918116,Gavin Newsom,Campaign for Democracy PAC,15252,20
7860876103,Joe Biden,BIDEN VICTORY FUND,14246,167
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,13058,123
570092813023833,Matt Walsh,The Daily Wire,12218,55
1639787246275062,Singh,These ads ran without a disclaimer,10747,44
153080620724,Donald J. Trump,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,10625,29
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,10228,593
110483677935904,Team DeSantis,Ron DeSantis for President,9795,207
76470053424,TIAA,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA,9606,16
100249953038234,Capital Access Alliance,Capital Access Alliance,9432,91
6514736316,Walden University,Walden University,8972,8
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,8500,464
201248453800242,My Pay My Say,Mackinac Center for Public Policy,8288,28
123450447708791,Energy Upgrade California,California Public Utilities Commission,8174,44
103875099042033,DailyWire+,The Daily Wire,8030,12
431891506856669,Dove,Unilever,7921,12
104623832132932,Perry Johnson,PERRY JOHNSON FOR PRESIDENT INC.,7435,98
385473284886474,Hillsdale College,Hillsdale College,7293,93
100364185463048,Angel Studios,"Angel Studios, Inc.",7079,1
18982436812,ACLU,American Civil Liberties Union,6874,98
8492293163,Environmental Defense Fund,Environmental Defense Fund,6828,159
243184199040637,Caring Across Generations,Caring Across Generations,6768,21
11791104453,NRDC,Natural Resources Defense Council,6506,246
57259033959,AARP,AARP,6432,138
92925746942,Judicial Watch,Judicial Watch,6170,112
15771560300,Earthjustice,EARTHJUSTICE,5819,156
18709174006,National Audubon Society,"NATIONAL AUDUBON SOCIETY, INC.",5801,196
104977525752112,Freedom of Patriots,Freedom of Patriots,5502,105
