Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
122258358636926,Sound of Freedom Movie,"Sound of Freedom, LLC",202854,77
107483817554072,WorkMoney,WorkMoney,25935,81
100364185463048,Angel Studios,"Angel Studios, Inc.",23688,8
104764865532188,Assistance for American,Assistance for American,21738,144
7860876103,Joe Biden,BIDEN VICTORY FUND,19698,134
102915374460262,Shell USA,Shell,18005,36
103875099042033,DailyWire+,The Daily Wire,17710,16
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,15970,177
118152441212175,Digital Innovation for America,Digital Innovation for America,13984,370
1255705481272786,America250,AMERICA 250 FOUNDATION INC,13957,102
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,12955,162
11465191261,JPMorgan Chase & Co.,"JPMORGAN CHASE BANK, NA",12252,13
106244251043808,America's Plastic Makers,"AMERICAN CHEMISTRY COUNCIL, INC.",10600,99
135880909935010,Francis Suarez,"SUAREZ FOR PRESIDENT, INC.",9335,67
145917588805718,Dr Jordan B Peterson,The Daily Wire,8977,13
123450447708791,Energy Upgrade California,California Public Utilities Commission,8942,59
1155212867963791,AFP Action,"AMERICANS FOR PROSPERITY ACTION, INC.(AFP ACTION)",8567,239
385473284886474,Hillsdale College,Hillsdale College,8414,116
6514736316,Walden University,Walden University,7978,8
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,7893,284
201248453800242,My Pay My Say,Mackinac Center for Public Policy,7857,28
167239703641594,Doug Burgum,"DOUG BURGUM FOR AMERICA, INC.",7038,102
10128918116,Gavin Newsom,Campaign for Democracy Committee,6886,9
8492293163,Environmental Defense Fund,Environmental Defense Fund,6556,207
104095962704249,SOS America PAC,SOS America PAC,6437,170
18982436812,ACLU,American Civil Liberties Union,6349,60
1589261434655726,Advocate Alliance Group,Advocate Alliance Group LLC,5896,1
100249953038234,Capital Access Alliance,Capital Access Alliance,5890,99
203197030603239,8 Billion Trees,8 Billion Trees LLC,5758,25
92925746942,Judicial Watch,Judicial Watch,5701,109
314499212242,Pfizer,Pfizer Inc.,5665,107
897994503631860,HealthInsurance.net,ASSURANCE IQ INC,5616,21
172758932738142,PhRMA,PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,5017,28
200650357207240,I Love My Freedom,I Love My Freedom,4850,93
154555391359382,Assemblymember Shirley Weber,These ads ran without a disclaimer,4841,12
592707041080920,Stand Together,Stand Together Chamber of Commerce Inc.,4715,78
1562713090633117,Operation Underground Railroad,OPERATION UNDERGROUND RAI,4459,41
57259033959,AARP,AARP,4337,87
152759126824,Enbridge,Enbridge Inc.,4110,18
1461100540775171,The Tuttle Twins,LIBERTAS INSTITUTE,3943,135
21492729544,Catholic Relief Services,CATHOLIC RELIEF SERVICES - UNITED STATES CONFERENCE OF CATHOLIC BISHOPS,3844,41
6204742571,Sierra Club,SIERRA CLUB,3841,32
6041057841,The Humane Society of the United States,"HUMANE SOCIETY OF THE UNITED STATES, THE",3739,42
192448150001,Jeff Anderson & Associates,Jeffrey R Anderson PA,3730,64
147368882623027,Black Futures Lab,Black Futures Lab,3648,17
102310491882678,Smart Daily Digest,Smart Daily Digest LLC,3450,27
106583555450073,Bidencare Health Plans,Obamacareplans,3331,74
533987556776948,Campaign for Sustainable Rx Pricing,Campaign for Sustainable Rx Pricing,3250,77
175951519123368,Delbert Hosemann,Delbert Hosemann,3111,11
12375354406,USO,United Service Organizations,3110,14
109847782136071,Coalition to Stop Reckless Gambling,Coalition to Stop Reckless Gambling,3035,6
18709174006,National Audubon Society,"NATIONAL AUDUBON SOCIETY, INC.",3006,189
76470053424,TIAA,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA,2868,16
122490537430251,My American Circle,My American Circle,2859,33
124029605075,The Partnership to Fight Chronic Disease,The Partnership to Fight Chronic Disease,2813,3
570092813023833,Matt Walsh,The Daily Wire,2807,16
113458431791557,Golden State Pulse,SCHIFF FOR SENATE,2793,22
1669941646417657,Senior Choice Financial,Senior Choice Financial,2726,81
2353537341582545,Proud Patriots,Proud Patriots,2713,38
127225910653607,PragerU,PragerU,2623,76
340153562850578,Tim Tebow,TIM TEBOW FOUNDATION,2619,6
100591845925552,EMILY's List Action,Emily's List Action,2607,36
109999331898234,My Affordable Care Act,The Burial Solution,2603,39
100410338482377,American Property Owners Alliance,American Property Owners Alliance,2603,27
80562389320,NARAL Pro-Choice America,NARAL PRO-CHOICE AMERICA CORP,2507,97
309308412520731,Sandy Hook Promise,Sandy Hook Promise,2455,21
1316372698453411,Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez for Congress,2425,82
495170667357093,Electronic Payments Coalition,ELECTRONIC PAYMENTS COALITION INC,2423,8
153080620724,Donald J. Trump,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,2417,40
112258312240526,Con Edison,"CONSOLIDATED EDISON COMPANY OF NEW YORK, INC.",2292,8
211498145554382,Americans for a Balanced Budget,Americans for a Balanced Budget,2285,23
925007000949719,ExxonMobil,EXXON MOBIL CORPORATION,2279,56
6012633110,Communications Workers of America,"COMMUNICATIONS WORKERS OF AMERICA, AFL-CIO, CLC",2213,6
