Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
122258358636926,Sound of Freedom Movie,"Sound of Freedom, LLC",90440,33
107483817554072,WorkMoney,WorkMoney,26328,165
106244251043808,America's Plastic Makers,"AMERICAN CHEMISTRY COUNCIL, INC.",20634,68
103552914774916,Science Moms,"Potential Energy Coalition, Inc. with Facebook ad credits",18913,18
100521932630618,Caring For Our Seniors,Caring For Our Seniors,17949,122
851220855030432,J.P. Morgan,"JPMORGAN CHASE BANK, NA",15892,12
7860876103,Joe Biden,BIDEN VICTORY FUND,14591,160
111994897803195,What's Good,Rare with Facebook Ad Credits,14407,21
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,14087,128
100417168386329,Heal America,Stand Together Chamber of Commerce Inc.,12789,64
107581521979054,Help For Our Seniors,Help For Our Seniors,12777,20
110483677935904,Team DeSantis,Ron DeSantis for President,11970,262
100364185463048,Angel Studios,"Angel Studios, Inc.",11269,2
1255705481272786,America250,AMERICA 250 FOUNDATION INC,11258,1
10128918116,Gavin Newsom,Campaign for Democracy PAC,11256,11
570092813023833,Matt Walsh,The Daily Wire,11232,58
127225910653607,PragerU,PragerU,11033,150
102915374460262,Shell USA,Shell,10929,36
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,10551,597
100249953038234,Capital Access Alliance,Capital Access Alliance,10143,147
76470053424,TIAA,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA,9618,16
109263975827773,Garnier USA,Garnier USA,9579,40
8492293163,Environmental Defense Fund,Environmental Defense Fund,8951,153
104623832132932,Perry Johnson,PERRY JOHNSON FOR PRESIDENT INC.,8600,83
6514736316,Walden University,Walden University,8357,8
153080620724,Donald J. Trump,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,8303,68
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,8218,489
201248453800242,My Pay My Say,Mackinac Center for Public Policy,7981,28
243184199040637,Caring Across Generations,Caring Across Generations,7947,40
431891506856669,Dove,Unilever,7783,12
123450447708791,Energy Upgrade California,California Public Utilities Commission,7700,55
203197030603239,8 Billion Trees,8 Billion Trees LLC,7571,31
385473284886474,Hillsdale College,Hillsdale College,7555,94
57259033959,AARP,AARP,7131,140
18982436812,ACLU,American Civil Liberties Union,6294,83
103875099042033,DailyWire+,The Daily Wire,6138,18
109092142462587,Adam Schiff,SCHIFF FOR SENATE,6096,27
11791104453,NRDC,Natural Resources Defense Council,6033,253
118152441212175,Digital Innovation for America,Digital Innovation for America,5931,130
18709174006,National Audubon Society,"NATIONAL AUDUBON SOCIETY, INC.",5926,220
104977525752112,Freedom of Patriots,Freedom of Patriots,5904,134
92925746942,Judicial Watch,Judicial Watch,5900,111
19972147679,SEIU,SEIU,5710,75
70874333603,CatholicVote,catholicvote.org,5644,58
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,5622,3
592707041080920,Stand Together,Stand Together Chamber of Commerce Inc.,5621,62
15771560300,Earthjustice,EARTHJUSTICE,5294,138
172758932738142,PhRMA,PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,5215,52
580610428636345,Fight for $15,Fight for $15,5113,121
