Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
122258358636926,Sound of Freedom Movie,"Sound of Freedom, LLC",93020,28
107483817554072,WorkMoney,WorkMoney,26686,165
106244251043808,America's Plastic Makers,"AMERICAN CHEMISTRY COUNCIL, INC.",21104,57
111994897803195,What's Good,Rare with Facebook Ad Credits,21071,21
103552914774916,Science Moms,"Potential Energy Coalition, Inc. with Facebook ad credits",19403,18
109263975827773,Garnier USA,Garnier USA,18855,40
102915374460262,Shell USA,Shell,17737,36
851220855030432,J.P. Morgan,"JPMORGAN CHASE BANK, NA",15811,12
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,14745,128
7860876103,Joe Biden,BIDEN VICTORY FUND,13940,152
104623832132932,Perry Johnson,PERRY JOHNSON FOR PRESIDENT INC.,13158,84
110483677935904,Team DeSantis,Ron DeSantis for President,12703,208
1255705481272786,America250,AMERICA 250 FOUNDATION INC,11873,1
118152441212175,Digital Innovation for America,Digital Innovation for America,11607,191
100249953038234,Capital Access Alliance,Capital Access Alliance,11204,140
100364185463048,Angel Studios,"Angel Studios, Inc.",10877,2
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,10569,613
100417168386329,Heal America,Stand Together Chamber of Commerce Inc.,10357,72
8492293163,Environmental Defense Fund,Environmental Defense Fund,10094,154
76470053424,TIAA,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA,9948,16
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,9333,425
6514736316,Walden University,Walden University,8923,8
10128918116,Gavin Newsom,Campaign for Democracy PAC,8710,7
103875099042033,DailyWire+,The Daily Wire,8402,13
385473284886474,Hillsdale College,Hillsdale College,8347,94
570092813023833,Matt Walsh,The Daily Wire,8290,55
201248453800242,My Pay My Say,Mackinac Center for Public Policy,8233,28
123450447708791,Energy Upgrade California,California Public Utilities Commission,8152,54
243184199040637,Caring Across Generations,Caring Across Generations,8093,39
203197030603239,8 Billion Trees,8 Billion Trees LLC,7698,31
431891506856669,Dove,Unilever,7677,12
57259033959,AARP,AARP,7252,143
153080620724,Donald J. Trump,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,7205,62
127225910653607,PragerU,PragerU,6516,137
18982436812,ACLU,American Civil Liberties Union,6343,76
11791104453,NRDC,Natural Resources Defense Council,6157,244
19972147679,SEIU,SEIU,6124,74
18709174006,National Audubon Society,"NATIONAL AUDUBON SOCIETY, INC.",6079,215
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,6042,3
92925746942,Judicial Watch,Judicial Watch,6024,111
109092142462587,Adam Schiff,SCHIFF FOR SENATE,5655,27
592707041080920,Stand Together,Stand Together Chamber of Commerce Inc.,5641,65
428821014132730,Katie Porter,KATIE PORTER FOR SENATE,5484,148
15771560300,Earthjustice,EARTHJUSTICE,5339,132
104977525752112,Freedom of Patriots,Freedom of Patriots,5165,111
172758932738142,PhRMA,PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,5160,51
144105014310,Panasonic North America,Panasonic North America,5129,104
1155212867963791,AFP Action,"AMERICANS FOR PROSPERITY ACTION, INC.(AFP ACTION)",5033,173
7341997111,Conservation International,Conservation International with Facebook Ad Credits,4918,12
1005566252861190,VOTEPROCHOICE,#VOTEPROCHOICE PAC,4749,9
7030901126,Campaign for Tobacco-Free Kids,Campaign for Tobacco-Free Kids,4722,23
67626834312,National Women's Law Center,National Women's Law Center,4680,17
114167895375664,Cherokee Nation,"CHEROKEE NATION, THE",4545,6
388608874845516,Joy Ofodu,Unilever USA,4431,3
