Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
122258358636926,Sound of Freedom Movie,"Sound of Freedom, LLC",55165,17
114008535880,Foundation for Individual Rights and Expression,FOUNDATION FOR INDIVIDUAL RIGHTS IN EDUCATION,23035,93
107483817554072,WorkMoney,WorkMoney,20821,254
106244251043808,America's Plastic Makers,"AMERICAN CHEMISTRY COUNCIL, INC.",20793,74
100364185463048,Angel Studios,"Angel Studios, Inc.",19233,8
107581521979054,Help For Our Seniors,Help For Our Seniors,18733,133
127225910653607,PragerU,PragerU,13609,153
192448150001,Jeff Anderson & Associates,Jeffrey R Anderson PA,13116,257
103875099042033,DailyWire+,The Daily Wire,11200,9
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,10643,111
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,10516,635
6514736316,Walden University,Walden University,9446,8
103552914774916,Science Moms,"Potential Energy Coalition, Inc. with Facebook ad credits",9189,18
431891506856669,Dove,Unilever,8485,12
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,8377,255
18982436812,ACLU,American Civil Liberties Union,7913,84
385473284886474,Hillsdale College,Hillsdale College,7435,95
12375354406,USO,United Service Organizations,6639,80
57259033959,AARP,AARP,6547,127
92925746942,Judicial Watch,Judicial Watch,6214,115
18709174006,National Audubon Society,"NATIONAL AUDUBON SOCIETY, INC.",5972,274
172758932738142,PhRMA,PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,5841,64
8492293163,Environmental Defense Fund,Environmental Defense Fund,5705,212
11791104453,NRDC,Natural Resources Defense Council,5672,223
15771560300,Earthjustice,EARTHJUSTICE,5440,177
570092813023833,Matt Walsh,The Daily Wire,5416,52
592707041080920,Stand Together,Stand Together Chamber of Commerce Inc.,4911,50
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,4749,6
7341997111,Conservation International,Conservation International with Facebook Ad Credits,4700,73
24470472733,The Trevor Project,The Trevor Project,4664,50
104623832132932,Perry Johnson,PERRY JOHNSON FOR PRESIDENT INC.,4494,65
76470053424,TIAA,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA,4480,16
108715768240523,Citizens Bulletin,House Majority Forward,4409,36
10128918116,Gavin Newsom,Campaign for Democracy PAC,4382,15
897994503631860,HealthInsurance.net,ASSURANCE IQ INC,4292,15
203197030603239,8 Billion Trees,8 Billion Trees LLC,4290,19
152759126824,Enbridge,Enbridge Inc.,4209,16
388608874845516,Joy Ofodu,Unilever USA,4171,3
