Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
122258358636926,Sound of Freedom Movie,"Sound of Freedom, LLC",155740,39
107483817554072,WorkMoney,WorkMoney,28871,119
111994897803195,What's Good,Rare with Facebook Ad Credits,26273,21
7860876103,Joe Biden,BIDEN VICTORY FUND,23814,198
106244251043808,America's Plastic Makers,"AMERICAN CHEMISTRY COUNCIL, INC.",22666,55
109263975827773,Garnier USA,Garnier USA,20238,48
102915374460262,Shell USA,Shell,20188,36
103552914774916,Science Moms,"Potential Energy Coalition, Inc. with Facebook ad credits",19931,18
104623832132932,Perry Johnson,PERRY JOHNSON FOR PRESIDENT INC.,15971,60
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,15396,129
11465191261,JPMorgan Chase & Co.,"JPMORGAN CHASE BANK, NA",14312,18
12301006942,Democratic Party,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,13657,6
385473284886474,Hillsdale College,Hillsdale College,13464,121
76470053424,TIAA,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA,10534,16
100249953038234,Capital Access Alliance,Capital Access Alliance,9943,95
123450447708791,Energy Upgrade California,California Public Utilities Commission,9649,54
6514736316,Walden University,Walden University,9520,8
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,9359,575
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,9058,415
431891506856669,Dove,Unilever,8935,12
201248453800242,My Pay My Say,Mackinac Center for Public Policy,8499,28
1589261434655726,Advocate Alliance Group,Advocate Alliance Group LLC,8465,2
100364185463048,Angel Studios,"Angel Studios, Inc.",7674,5
57259033959,AARP,AARP,7664,140
2278338985596482,House Majority Forward,House Majority Forward,7538,36
11791104453,NRDC,Natural Resources Defense Council,7465,243
92925746942,Judicial Watch,Judicial Watch,6833,114
15771560300,Earthjustice,EARTHJUSTICE,6573,153
18709174006,National Audubon Society,"NATIONAL AUDUBON SOCIETY, INC.",6393,201
8492293163,Environmental Defense Fund,Environmental Defense Fund,6255,144
167239703641594,Doug Burgum,"DOUG BURGUM FOR AMERICA, INC.",5782,153
592707041080920,Stand Together,Stand Together Chamber of Commerce Inc.,5748,73
18982436812,ACLU,American Civil Liberties Union,5611,34
172758932738142,PhRMA,PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,5591,19
7030901126,Campaign for Tobacco-Free Kids,Campaign for Tobacco-Free Kids,5409,45
109092142462587,Adam Schiff,SCHIFF FOR SENATE,5357,45
203197030603239,8 Billion Trees,8 Billion Trees LLC,5309,21
7341997111,Conservation International,Conservation International with Facebook Ad Credits,5166,12
1155212867963791,AFP Action,"AMERICANS FOR PROSPERITY ACTION, INC.(AFP ACTION)",4817,172
103875099042033,DailyWire+,The Daily Wire,4787,13
30139072158,CARE,"COOPERATIVE FOR ASSISTANCE AND RELIEF EVERYWHERE, INC. (CARE)",4766,36
19972147679,SEIU,SEIU,4667,65
388608874845516,Joy Ofodu,Unilever USA,4595,3
1461100540775171,The Tuttle Twins,LIBERTAS INSTITUTE,4523,216
570092813023833,Matt Walsh,The Daily Wire,4285,39
100417168386329,Heal America,Stand Together Chamber of Commerce Inc.,4273,38
24413227922,Kamala Harris,BIDEN VICTORY FUND,4243,64
21492729544,Catholic Relief Services,CATHOLIC RELIEF SERVICES - UNITED STATES CONFERENCE OF CATHOLIC BISHOPS,4152,52
80562389320,NARAL Pro-Choice America,NARAL PRO-CHOICE AMERICA CORP,4137,182
6041057841,The Humane Society of the United States,"HUMANE SOCIETY OF THE UNITED STATES, THE",4059,35
314499212242,Pfizer,Pfizer Inc.,4034,135
102310491882678,Smart Daily Digest,Smart Daily Digest LLC,3900,30
104095962704249,SOS America PAC,SOS America PAC,3862,29
152759126824,Enbridge,Enbridge Inc.,3823,16
147368882623027,Black Futures Lab,Black Futures Lab,3820,17
49651563727,Live Action,Live Action,3712,161
428821014132730,Katie Porter,KATIE PORTER FOR SENATE,3633,90
24470472733,The Trevor Project,The Trevor Project,3574,80
102981025425963,Coalition for Environmental Equity and Economics,Environmental Justice Coalition for Water (EJCW),3561,11
1413858742171052,Melinda French Gates,Melinda French Gates,3450,19
533987556776948,Campaign for Sustainable Rx Pricing,Campaign for Sustainable Rx Pricing,3437,74
104394262049761,Jeremy's Razors,The Daily Wire,3315,30
118152441212175,Digital Innovation for America,Digital Innovation for America,3221,152
114167895375664,Cherokee Nation,"CHEROKEE NATION, THE",3195,5
200650357207240,I Love My Freedom,I Love My Freedom,3173,116
6204742571,Sierra Club,SIERRA CLUB,3116,44
12375354406,USO,United Service Organizations,3085,60
112258312240526,Con Edison,"CONSOLIDATED EDISON COMPANY OF NEW YORK, INC.",3060,8
255062275778,Tim Tebow Foundation,TIM TEBOW FOUNDATION,3038,11
110483677935904,Team DeSantis,Ron DeSantis for President,3033,218
103807629149771,Working Forests Initiative,"WORKING FOREST INITIATIVE, INC.",2981,8
100591845925552,EMILY's List Action,Emily's List Action,2929,48
109847782136071,Coalition to Stop Reckless Gambling,Coalition to Stop Reckless Gambling,2914,8
102728722622429,George Grasso,GRASSO FOR QUEENS,2865,18
750121728449001,Rebuild SoCal,Rebuild SoCal Partnership,2783,16
103315464587143,All Access,LEADN LLC,2756,12
308596713439,The Breakthrough Institute,The Breakthrough Institute,2725,19
109407514190720,Julie Won for City Council,Won for Council,2724,4
