Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
122258358636926,Sound of Freedom Movie,"Sound of Freedom, LLC",160908,97
107483817554072,WorkMoney,WorkMoney,37024,77
7860876103,Joe Biden,BIDEN VICTORY FUND,33706,217
104764865532188,Assistance for American,Assistance for American,26150,140
102915374460262,Shell USA,Shell,19032,36
100364185463048,Angel Studios,"Angel Studios, Inc.",18956,9
104095962704249,SOS America PAC,SOS America PAC,16639,189
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,15573,177
11465191261,JPMorgan Chase & Co.,"JPMORGAN CHASE BANK, NA",12431,13
103875099042033,DailyWire+,The Daily Wire,12177,12
1255705481272786,America250,AMERICA 250 FOUNDATION INC,11865,101
18982436812,ACLU,American Civil Liberties Union,11158,105
106244251043808,America's Plastic Makers,"AMERICAN CHEMISTRY COUNCIL, INC.",10941,95
172758932738142,PhRMA,PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,10050,36
123450447708791,Energy Upgrade California,California Public Utilities Commission,9196,59
145917588805718,Dr Jordan B Peterson,The Daily Wire,9109,14
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,8905,383
385473284886474,Hillsdale College,Hillsdale College,8784,158
118152441212175,Digital Innovation for America,Digital Innovation for America,8677,107
167239703641594,Doug Burgum,"DOUG BURGUM FOR AMERICA, INC.",8506,230
6514736316,Walden University,Walden University,8233,8
201248453800242,My Pay My Say,Mackinac Center for Public Policy,8009,28
10128918116,Gavin Newsom,Campaign for Democracy Committee,7535,6
1562713090633117,Operation Underground Railroad,OPERATION UNDERGROUND RAI,7331,51
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,7073,157
203197030603239,8 Billion Trees,8 Billion Trees LLC,6559,28
8492293163,Environmental Defense Fund,Environmental Defense Fund,6381,294
187850809456,PSEA - PA State Education Association,PENNSYLVANIA STATE EDUCATION ASSOCIATION,6368,42
897994503631860,HealthInsurance.net,ASSURANCE IQ INC,6256,28
1589261434655726,Advocate Alliance Group,Advocate Alliance Group LLC,6244,1
592707041080920,Stand Together,Stand Together Chamber of Commerce Inc.,6203,85
1155212867963791,AFP Action,"AMERICANS FOR PROSPERITY ACTION, INC.(AFP ACTION)",5752,67
263050693742071,Core Power,These ads ran without a disclaimer,5670,1
92925746942,Judicial Watch,Judicial Watch,5558,113
57259033959,AARP,AARP,5547,88
106583555450073,Bidencare Health Plans,Obamacareplans,5497,122
135880909935010,Francis Suarez,"SUAREZ FOR PRESIDENT, INC.",5460,51
122490537430251,My American Circle,My American Circle,5430,22
175951519123368,Delbert Hosemann,Delbert Hosemann,4768,7
126297030950,Johnson & Johnson,Johnson & Johnson,4520,7
102310491882678,Smart Daily Digest,Smart Daily Digest LLC,4462,28
1461100540775171,The Tuttle Twins,LIBERTAS INSTITUTE,4284,144
114008535880,Foundation for Individual Rights and Expression,FOUNDATION FOR INDIVIDUAL RIGHTS IN EDUCATION,4268,22
152759126824,Enbridge,Enbridge Inc.,4207,18
6204742571,Sierra Club,SIERRA CLUB,4154,34
108303585885118,Planned Parenthood Advocates of Iowa,Planned Parenthood Advocates of Iowa,4112,17
192448150001,Jeff Anderson & Associates,Jeffrey R Anderson PA,3984,65
21492729544,Catholic Relief Services,CATHOLIC RELIEF SERVICES - UNITED STATES CONFERENCE OF CATHOLIC BISHOPS,3963,42
200650357207240,I Love My Freedom,I Love My Freedom,3952,67
6041057841,The Humane Society of the United States,"HUMANE SOCIETY OF THE UNITED STATES, THE",3934,41
147368882623027,Black Futures Lab,Black Futures Lab,3737,17
314499212242,Pfizer,Pfizer Inc.,3613,91
533987556776948,Campaign for Sustainable Rx Pricing,Campaign for Sustainable Rx Pricing,3413,73
100249953038234,Capital Access Alliance,Capital Access Alliance,3292,198
109847782136071,Coalition to Stop Reckless Gambling,Coalition to Stop Reckless Gambling,3118,6
570092813023833,Matt Walsh,The Daily Wire,3112,18
18709174006,National Audubon Society,"NATIONAL AUDUBON SOCIETY, INC.",3099,185
149220264647,ADL - Anti-Defamation League,Anti-Defamation League,3096,8
7263476274,Mercy Corps,Mercy Corps,3074,56
113458431791557,Golden State Pulse,SCHIFF FOR SENATE,2923,22
124029605075,The Partnership to Fight Chronic Disease,The Partnership to Fight Chronic Disease,2874,3
109999331898234,My Affordable Care Act,The Burial Solution,2840,36
127225910653607,PragerU,PragerU,2781,78
309308412520731,Sandy Hook Promise,Sandy Hook Promise,2589,21
100591845925552,EMILY's List Action,Emily's List Action,2589,22
2353537341582545,Proud Patriots,Proud Patriots,2580,18
153080620724,Donald J. Trump,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,2579,54
130945114804,World Jewish Congress,ATTN: INC.,2417,8
112258312240526,Con Edison,"CONSOLIDATED EDISON COMPANY OF NEW YORK, INC.",2396,8
1958912674200535,The Pour Over,Pour Over,2376,8
6012633110,Communications Workers of America,"COMMUNICATIONS WORKERS OF AMERICA, AFL-CIO, CLC",2342,6
495170667357093,Electronic Payments Coalition,ELECTRONIC PAYMENTS COALITION INC,2337,8
1669941646417657,Senior Choice Financial,Senior Choice Financial,2318,89
49651563727,Live Action,Live Action,2308,90
263577748709,National Governors Association,NATIONAL GOVERNORS ASSOCIATION CENTER FOR BEST PRACTICES,2290,36
42940254353,Human Rights Watch,"HUMAN RIGHTS WATCH, INC.",2266,73
211498145554382,Americans for a Balanced Budget,Americans for a Balanced Budget,2262,24
23875187730,Feeding America,Feeding America,2261,12
80562389320,NARAL Pro-Choice America,NARAL PRO-CHOICE AMERICA CORP,2257,64
58433611572,Seventh Generation,SEVENTH GENERATION INC,2248,14
190226429055,U.S. Department of Labor,United States Department of Labor,2172,12
190400207672014,American Bankers Association,American Bankers Association,2152,9
7341997111,Conservation International,Conservation International,2105,78
376776419037747,Turning Point USA,"Turning Point USA, Inc.",2079,28
103481651030324,Great Lakes. Michigan Jobs.,Great Lakes. Michigan Jobs.,2075,8
925007000949719,ExxonMobil,EXXON MOBIL CORPORATION,2057,72
76470053424,TIAA,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA,2050,13
124590333958971,Vote No in August: Protect One Person One Vote,One Person One Vote,2028,1
340153562850578,Tim Tebow,TIM TEBOW FOUNDATION,1951,3
70874333603,CatholicVote,catholicvote.org,1929,56
103315464587143,All Access,LEADN LLC,1921,14
166618413413767,Jay Sekulow,American Center for Law and Justice,1890,116
103375628943529,Adam Frisch,Adam for Colorado,1819,15
7030901126,Campaign for Tobacco-Free Kids,Campaign for Tobacco-Free Kids,1774,28
1316372698453411,Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez for Congress,1763,47
570953166908066,Vivek Ramaswamy,VIVEK 2024,1726,23
100992801635617,Conservative-American.org,Conservative American Strategies,1708,12
40217893542,AIPAC,AIPAC,1703,222
103715861368344,McCormick & Company,MCCORMICK & COMPANY INC,1701,14
15771560300,Earthjustice,EARTHJUSTICE,1676,59
96935476345,Democratic Governors Association (DGA),"Democratic Action, democraticgovernors.org, not authorized by any candidate or candidate's committee.",1675,8
159658557547960,Wall Street Journal Opinion,The Wall Street Journal,1639,32
1526736227567131,TrueCoverage,True Coverage,1636,5
366741496830,Southern California Edison (SCE),Southern California Edison,1631,57
13885075114,Action Against Hunger USA,ACTION AGAINST HUNGER - USA,1627,99
114720264544782,Moving Forward,Seniors Today USA,1599,240
24413227922,Kamala Harris,BIDEN VICTORY FUND,1591,22
372922692828,SEIU-United Healthcare Workers West,SEIU United Healthcare Workers West Local 2005,1587,86
145973965440671,Carnegie Corporation of New York,CARNEGIE CORPORATION OF NEW YORK,1584,33
1747038068858379,Las Madrinas de los Seguros,"Living Secure Insurance Advisors, Inc.",1543,159
140357056032320,NEA Today,National Education Association,1530,39
45393753416,Alliance Defending Freedom,Alliance Defending Freedom,1520,34
117196981332058,Let's Get Loud,Let's Get Loud,1508,5
103695769458,United States Mint,United States Mint,1502,48
304600892905134,Hillsdale College Online Courses,HILLSDALE COLLEGE,1501,47
121626482110,Operation Smile,OPERATION SMILE,1492,76
107661474402498,United Patriot,United Patriot,1474,74
101497941620428,MolinaCares,The MolinaCares Accord,1466,27
2053678114723700,President Trump's Patriot Army,I Love My Freedom,1461,22
905023632893973,Reproaction,Reproaction,1458,68
11791104453,NRDC,Natural Resources Defense Council,1435,70
103175021296846,Save Our Planet,Save Our Planet,1408,36
8501031021,VoteVets,VOTEVETS,1392,4
84177291169,"Dairy Farmers of America, Inc.",DAIRY FARMERS OF AMERICA INC,1388,24
103834625068376,CT Wine Now,CT Wine Now,1372,5
120945717945722,Uber,Uber,1367,26
