Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
122258358636926,Sound of Freedom Movie,"Sound of Freedom, LLC",133771,30
109092142462587,Adam Schiff,SCHIFF FOR SENATE,57041,89
107483817554072,WorkMoney,WorkMoney,25373,115
111994897803195,What's Good,Rare with Facebook Ad Credits,23049,21
106244251043808,America's Plastic Makers,"AMERICAN CHEMISTRY COUNCIL, INC.",20338,55
109263975827773,Garnier USA,Garnier USA,19046,42
103552914774916,Science Moms,"Potential Energy Coalition, Inc. with Facebook ad credits",18551,18
110483677935904,Team DeSantis,Ron DeSantis for President,17860,242
102915374460262,Shell USA,Shell,17636,36
104623832132932,Perry Johnson,PERRY JOHNSON FOR PRESIDENT INC.,15176,52
7860876103,Joe Biden,BIDEN VICTORY FUND,14855,115
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,13863,129
11465191261,JPMorgan Chase & Co.,"JPMORGAN CHASE BANK, NA",10069,18
8492293163,Environmental Defense Fund,Environmental Defense Fund,9833,155
118152441212175,Digital Innovation for America,Digital Innovation for America,9670,229
100249953038234,Capital Access Alliance,Capital Access Alliance,9621,163
76470053424,TIAA,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA,9521,16
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,9218,585
385473284886474,Hillsdale College,Hillsdale College,9026,143
123450447708791,Energy Upgrade California,California Public Utilities Commission,8944,54
10128918116,Gavin Newsom,Campaign for Democracy PAC,8539,22
6514736316,Walden University,Walden University,8528,8
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,8223,416
1589261434655726,Advocate Alliance Group,Advocate Alliance Group LLC,8017,2
201248453800242,My Pay My Say,Mackinac Center for Public Policy,7965,28
431891506856669,Dove,Unilever,7769,12
18982436812,ACLU,American Civil Liberties Union,7692,99
57259033959,AARP,AARP,7182,143
428821014132730,Katie Porter,KATIE PORTER FOR SENATE,6714,115
11791104453,NRDC,Natural Resources Defense Council,6443,260
103875099042033,DailyWire+,The Daily Wire,6316,13
15771560300,Earthjustice,EARTHJUSTICE,6248,172
92925746942,Judicial Watch,Judicial Watch,6068,109
18709174006,National Audubon Society,"NATIONAL AUDUBON SOCIETY, INC.",5864,209
16477459734,League of Conservation Voters,"LEAGUE OF CONSERVATION VOTERS, INC",5844,20
179590995428478,Bank of America,BANK OF AMERICA CORPORATION,5242,1
570092813023833,Matt Walsh,The Daily Wire,5093,46
2278338985596482,House Majority Forward,House Majority Forward,5000,36
203197030603239,8 Billion Trees,8 Billion Trees LLC,4935,21
7030901126,Campaign for Tobacco-Free Kids,Campaign for Tobacco-Free Kids,4934,43
172758932738142,PhRMA,PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,4925,50
60326619815,Asian Pacific American Institute for Congressional Studies (APAICS),Asian Pacific American Institute for Congressional Studies (APAICS),4864,96
114720264544782,Moving Forward,Seniors Today USA,4820,240
100801038449520,Natural Allies for a Clean Energy Future,"Natural Allies, Inc.",4791,26
7341997111,Conservation International,Conservation International with Facebook Ad Credits,4719,12
388608874845516,Joy Ofodu,Unilever USA,4661,3
592707041080920,Stand Together,Stand Together Chamber of Commerce Inc.,4500,69
100417168386329,Heal America,Stand Together Chamber of Commerce Inc.,4322,45
897994503631860,HealthInsurance.net,ASSURANCE IQ INC,4254,23
