Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
122258358636926,Sound of Freedom Movie,"Sound of Freedom, LLC",61849,22
107581521979054,Help For Our Seniors,Help For Our Seniors,28150,94
103875099042033,DailyWire+,The Daily Wire,23300,25
107483817554072,WorkMoney,WorkMoney,22163,185
100364185463048,Angel Studios,"Angel Studios, Inc.",21648,8
106244251043808,America's Plastic Makers,"AMERICAN CHEMISTRY COUNCIL, INC.",21142,74
111994897803195,What's Good,Rare with Facebook Ad Credits,21006,20
103552914774916,Science Moms,"Potential Energy Coalition, Inc. with Facebook ad credits",19662,18
570092813023833,Matt Walsh,The Daily Wire,18949,60
851220855030432,J.P. Morgan,"JPMORGAN CHASE BANK, NA",16451,12
114860291568624,Defending Bluegrass Values,Defending Bluegrass Values,15774,30
192448150001,Jeff Anderson & Associates,Jeffrey R Anderson PA,14428,260
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,11747,122
12301006942,Democratic Party,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,9917,2
6514736316,Walden University,Walden University,9785,9
76470053424,TIAA,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA,9722,16
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,9515,424
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,8360,266
18982436812,ACLU,American Civil Liberties Union,7746,94
431891506856669,Dove,Unilever,7595,12
385473284886474,Hillsdale College,Hillsdale College,7459,93
127225910653607,PragerU,PragerU,7007,138
57259033959,AARP,AARP,6529,122
104394262049761,Jeremy's Razors,The Daily Wire,6331,49
92925746942,Judicial Watch,Judicial Watch,6306,116
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,6304,5
18709174006,National Audubon Society,"NATIONAL AUDUBON SOCIETY, INC.",5978,269
11791104453,NRDC,Natural Resources Defense Council,5949,261
897994503631860,HealthInsurance.net,ASSURANCE IQ INC,5603,6
172758932738142,PhRMA,PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,5267,51
15771560300,Earthjustice,EARTHJUSTICE,5177,140
110483677935904,Team DeSantis,Ron DeSantis for President,5166,140
103478796015358,Neverbackdown,NEVER BACK DOWN INC.,5129,21
388608874845516,Joy Ofodu,Unilever USA,4855,3
592707041080920,Stand Together,Stand Together Chamber of Commerce Inc.,4664,55
203197030603239,8 Billion Trees,8 Billion Trees LLC,4631,19
123450447708791,Energy Upgrade California,California Public Utilities Commission,4543,17
8492293163,Environmental Defense Fund,Environmental Defense Fund,4491,137
108715768240523,Citizens Bulletin,House Majority Forward,4442,36
100249953038234,Capital Access Alliance,Capital Access Alliance,4418,75
144105014310,Panasonic North America,Panasonic North America,4389,108
104623832132932,Perry Johnson,PERRY JOHNSON FOR PRESIDENT INC.,4253,49
6041057841,The Humane Society of the United States,"HUMANE SOCIETY OF THE UNITED STATES, THE",4240,60
6204742571,Sierra Club,SIERRA CLUB,4217,52
1461100540775171,The Tuttle Twins,LIBERTAS INSTITUTE,4193,218
