Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
122258358636926,Sound of Freedom Movie,"Sound of Freedom, LLC",192989,101
107483817554072,WorkMoney,WorkMoney,52649,43
7860876103,Joe Biden,BIDEN VICTORY FUND,31885,187
104764865532188,Assistance for American,Assistance for American,27383,216
100364185463048,Angel Studios,"Angel Studios, Inc.",22854,9
104095962704249,SOS America PAC,SOS America PAC,21962,159
102915374460262,Shell USA,Shell,18397,36
1255705481272786,America250,AMERICA 250 FOUNDATION INC,16351,103
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,13436,178
118152441212175,Digital Innovation for America,Digital Innovation for America,12957,267
1562713090633117,Operation Underground Railroad,OPERATION UNDERGROUND RAI,12640,54
11465191261,JPMorgan Chase & Co.,"JPMORGAN CHASE BANK, NA",12473,13
18982436812,ACLU,American Civil Liberties Union,10749,97
106244251043808,America's Plastic Makers,"AMERICAN CHEMISTRY COUNCIL, INC.",10173,92
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,9844,433
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,9575,155
103875099042033,DailyWire+,The Daily Wire,9084,64
123450447708791,Energy Upgrade California,California Public Utilities Commission,8936,61
172758932738142,PhRMA,PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,8916,39
385473284886474,Hillsdale College,Hillsdale College,8685,161
1155212867963791,AFP Action,"AMERICANS FOR PROSPERITY ACTION, INC.(AFP ACTION)",8642,69
167239703641594,Doug Burgum,"DOUG BURGUM FOR AMERICA, INC.",8400,117
201248453800242,My Pay My Say,Mackinac Center for Public Policy,7985,28
10128918116,Gavin Newsom,Campaign for Democracy Committee,7729,12
101595972519760,Helping American Seniors,Helping American Seniors,7426,108
8492293163,Environmental Defense Fund,Environmental Defense Fund,7214,290
21492729544,Catholic Relief Services,CATHOLIC RELIEF SERVICES - UNITED STATES CONFERENCE OF CATHOLIC BISHOPS,7154,49
897994503631860,HealthInsurance.net,ASSURANCE IQ INC,6550,27
92925746942,Judicial Watch,Judicial Watch,6475,111
127225910653607,PragerU,PragerU,6313,136
102310491882678,Smart Daily Digest,Smart Daily Digest LLC,6182,29
6514736316,Walden University,Walden University,6022,8
145917588805718,Dr Jordan B Peterson,The Daily Wire,5895,11
1589261434655726,Advocate Alliance Group,Advocate Alliance Group LLC,5801,1
203197030603239,8 Billion Trees,8 Billion Trees LLC,5777,24
92021268117,Working America,Working America,5695,39
112600915451330,No Labels,No Labels,5587,52
57259033959,AARP,AARP,5581,86
108547455113940,Our America,Our America,5525,52
104623832132932,Perry Johnson,PERRY JOHNSON FOR PRESIDENT INC.,5366,103
7030901126,Campaign for Tobacco-Free Kids,TOBACCO-FREE KIDS ACTION FUND,5342,14
592707041080920,Stand Together,Stand Together Chamber of Commerce Inc.,5258,91
116821227998416,Protect Women Ohio,Protect Women Ohio,5208,14
2353537341582545,Proud Patriots,Proud Patriots,4993,158
175951519123368,Delbert Hosemann,Delbert Hosemann,4923,16
126297030950,Johnson & Johnson,Johnson & Johnson,4530,7
6204742571,Sierra Club,SIERRA CLUB,4266,34
7030901126,Campaign for Tobacco-Free Kids,Campaign for Tobacco-Free Kids,4221,37
1461100540775171,The Tuttle Twins,LIBERTAS INSTITUTE,4174,149
152759126824,Enbridge,Enbridge Inc.,4158,18
40217893542,AIPAC,AIPAC,3958,147
114008535880,Foundation for Individual Rights and Expression,FOUNDATION FOR INDIVIDUAL RIGHTS IN EDUCATION,3838,21
200650357207240,I Love My Freedom,I Love My Freedom,3731,113
314499212242,Pfizer,Pfizer Inc.,3631,89
147368882623027,Black Futures Lab,Black Futures Lab,3593,17
