Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
122258358636926,Sound of Freedom Movie,"Sound of Freedom, LLC",57015,17
111994897803195,What's Good,Rare with Facebook Ad Credits,28123,19
107483817554072,WorkMoney,WorkMoney,25326,249
100364185463048,Angel Studios,"Angel Studios, Inc.",22651,8
106244251043808,America's Plastic Makers,"AMERICAN CHEMISTRY COUNCIL, INC.",21290,71
103552914774916,Science Moms,"Potential Energy Coalition, Inc. with Facebook ad credits",17931,18
103875099042033,DailyWire+,The Daily Wire,17330,8
107581521979054,Help For Our Seniors,Help For Our Seniors,17300,77
570092813023833,Matt Walsh,The Daily Wire,14312,53
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,13963,123
192448150001,Jeff Anderson & Associates,Jeffrey R Anderson PA,12730,258
127225910653607,PragerU,PragerU,10455,146
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,9757,426
6514736316,Walden University,Walden University,9546,8
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,8319,246
18982436812,ACLU,American Civil Liberties Union,8309,81
76470053424,TIAA,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA,8223,16
431891506856669,Dove,Unilever,8074,12
385473284886474,Hillsdale College,Hillsdale College,7694,93
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,6600,5
57259033959,AARP,AARP,6513,122
92925746942,Judicial Watch,Judicial Watch,6422,115
12375354406,USO,United Service Organizations,6414,79
18709174006,National Audubon Society,"NATIONAL AUDUBON SOCIETY, INC.",5943,347
172758932738142,PhRMA,PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,5878,60
8492293163,Environmental Defense Fund,Environmental Defense Fund,5475,201
104338357673828,New Day Nevada,New Day Nevada PAC,5265,6
897994503631860,HealthInsurance.net,ASSURANCE IQ INC,5196,9
15771560300,Earthjustice,EARTHJUSTICE,5164,178
114860291568624,Defending Bluegrass Values,Defending Bluegrass Values,5000,30
592707041080920,Stand Together,Stand Together Chamber of Commerce Inc.,4962,64
11791104453,NRDC,Natural Resources Defense Council,4944,215
203197030603239,8 Billion Trees,8 Billion Trees LLC,4758,19
6204742571,Sierra Club,SIERRA CLUB,4617,56
388608874845516,Joy Ofodu,Unilever USA,4593,3
108715768240523,Citizens Bulletin,House Majority Forward,4550,36
119361021162848,American Representative Majority,American Representative Majority,4535,3
7341997111,Conservation International,Conservation International with Facebook Ad Credits,4309,67
2353537341582545,Proud Patriots,Proud Patriots,4294,67
428821014132730,Katie Porter,KATIE PORTER FOR SENATE,4274,162
1461100540775171,The Tuttle Twins,LIBERTAS INSTITUTE,4226,218
6041057841,The Humane Society of the United States,"HUMANE SOCIETY OF THE UNITED STATES, THE",4154,48
152759126824,Enbridge,Enbridge Inc.,4107,16
104623832132932,Perry Johnson,PERRY JOHNSON FOR PRESIDENT INC.,3886,22
7030901126,Campaign for Tobacco-Free Kids,Campaign for Tobacco-Free Kids,3795,30
1155212867963791,AFP Action,"AMERICANS FOR PROSPERITY ACTION, INC.(AFP ACTION)",3623,174
318196171580489,Ron DeSantis,Ron DeSantis for President,3557,194
166618413413767,Jay Sekulow,American Center for Law and Justice,3507,150
104394262049761,Jeremy's Razors,The Daily Wire,3371,46
100249953038234,Capital Access Alliance,Capital Access Alliance,3322,119
147368882623027,Black Futures Lab,Black Futures Lab,3175,20
7292655492,MoveOn,MOVEON.ORG POLITICAL ACTION,3133,65
24470472733,The Trevor Project,The Trevor Project,2991,45
120945717945722,Uber,Uber,2910,40
7860876103,Joe Biden,BIDEN VICTORY FUND,2864,67
106925294739244,Advancing American Freedom,Advancing American Freedom Inc,2848,9
103807629149771,Working Forests Initiative,"WORKING FOREST INITIATIVE, INC.",2843,8
112258312240526,Con Edison,"CONSOLIDATED EDISON COMPANY OF NEW YORK, INC.",2834,9
134687123337151,CDC HIV,Centers for Disease Control and Prevention,2758,69
100908696264873,Better Buildings New York,Better Buildings New York,2749,10
376776419037747,Turning Point USA,"Turning Point USA, Inc.",2726,63
118124678240992,Wisconsin Chapter of the AAP,Wisconsin Chapter of the AAP,2685,18
309308412520731,Sandy Hook Promise,Sandy Hook Promise,2660,21
243184199040637,Caring Across Generations,Caring Across Generations,2654,46
102310491882678,Smart Daily Digest,Smart Daily Digest LLC,2614,14
359477377917,American Federation for Children,American Federation for Children,2582,82
104760636770,Vera Institute of Justice,Vera Institute of Justice,2516,77
1316372698453411,Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez for Congress,2433,172
106583555450073,Bidencare Health Plans,Obamacareplans,2429,70
11465191261,JPMorgan Chase & Co.,"JPMORGAN CHASE BANK, NA",2401,15
100801038449520,Natural Allies for a Clean Energy Future,"Natural Allies, Inc.",2398,20
178602115837123,David Trone,DAVID TRONE FOR MARYLAND,2290,29
108668858578908,Médico Cubierto,JADE Computer Services LLC,2270,6
102769134675149,Evergreen Action,Evergreen Collaborative,2247,8
110442961603215,Yikes Today,Yikes Today,2247,31
121626482110,Operation Smile,OPERATION SMILE,2228,72
267180743723148,National Geographic Society,National Geographic Society,2178,22
1606780826273282,The Committee to Unleash Prosperity,Committee to Unleash Prosperity Inc.,2161,12
72931140459,Center for Biological Diversity,"CENTER FOR BIOLOGICAL DIVERSITY, INC.",2134,16
366741496830,Southern California Edison (SCE),Southern California Edison,2115,47
1669941646417657,Senior Choice Financial,Senior Choice Financial,2115,107
580610428636345,Fight for $15,Fight for $15,2099,85
7192716362,Amnesty International USA,"AMNESTY INTERNATIONAL OF THE U. S. A., INC.",2092,83
49651563727,Live Action,Live Action,2091,143
925007000949719,ExxonMobil,EXXON MOBIL CORPORATION,2060,69
1505244559517282,Colin Allred,COLIN ALLRED FOR SENATE,2019,46
570953166908066,Vivek Ramaswamy,VIVEK 2024,1969,62
52563647525,Kyrsten Sinema,SINEMA FOR ARIZONA,1966,16
103375628943529,Adam Frisch,Adam for Colorado,1961,16
304600892905134,Hillsdale College Online Courses,HILLSDALE COLLEGE,1947,52
40217893542,AIPAC,AIPAC,1937,69
349068689306,Tim Scott,Tim Scott for America,1897,69
30139072158,CARE,CARE,1880,40
100346689495660,Pete's Pranks,Petes Pranks,1855,2
114008535880,Foundation for Individual Rights and Expression,FOUNDATION FOR INDIVIDUAL RIGHTS IN EDUCATION,1827,26
1435071773455316,Daily Wire,The Daily Wire,1812,11
110366320510798,Hold Politicians Accountable,Hold Politicians Accountable,1809,81
7341997111,Conservation International,Conservation International,1799,93
100768036281308,Right Our Story,Right Our Story,1769,14
10128918116,Gavin Newsom,Campaign for Democracy PAC,1756,9
314499212242,Pfizer,Pfizer Inc.,1741,125
103715861368344,McCormick & Company,MCCORMICK & COMPANY INC,1686,14
159658557547960,Wall Street Journal Opinion,The Wall Street Journal,1648,64
101242238726088,Power for Tomorrow,Power for Tomorrow,1641,77
25852730092,Care2,"Care2.com, Inc",1629,8
100684991996307,November Coalition,NOVEMBER COALITION,1616,1
215653202574079,Future Majority,"Future Majority, Inc",1604,39
473191156175163,EDF Action,Environmental Defense Action Fund,1583,12
122078260877783,"Clean Water, Healthy Families, Good Jobs","Our Water NJ, New Jersey Future",1563,4
1747038068858379,Las Madrinas de los Seguros,"Living Secure Insurance Advisors, Inc.",1531,99
103478796015358,Neverbackdown,NEVER BACK DOWN INC.,1523,21
140357056032320,NEA Today,National Education Association,1516,63
19972147679,SEIU,SEIU,1496,52
153080620724,Donald J. Trump,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,1489,24
70874333603,CatholicVote,catholicvote.org,1485,52
108488315221081,Our American Seniors,Our American Seniors,1476,1
154561574598964,White Coat Waste Project,THE WHITE COAT WASTE PROJECT INC,1472,144
116377308013980,Cuidemos Nuestra Agua,California Department of Water Resources,1470,10
6266829799,Sherrod Brown,FRIENDS OF SHERROD BROWN,1457,59
103315464587143,All Access,LEADN LLC,1456,10
8501031021,VoteVets.org,VOTEVETS,1426,3
498221457664032,DHL U.S.,"DHL EXPRESS (USA), INC.",1422,17
106115601572617,Texans for Opportunity & Prosperity PAC,TEXANS FOR OPPORTUNITY AND (&) PROSPERITY PAC,1405,19
100498434891964,Commissioner Yraida Aponte-Lipski,Friends of Yraida Aponte-Lipski,1387,18
104094415337871,Abuse Victim Claims,Tort Group LLC,1379,6
372922692828,SEIU-United Healthcare Workers West,SEIU United Healthcare Workers West Local 2005,1364,32
111515841026178,Counterspark,"Counterspark, Inc.",1356,33
7357041101,Tammy Baldwin,TAMMY BALDWIN FOR SENATE,1356,47
200650357207240,I Love My Freedom,I Love My Freedom,1337,40
109599248636777,Consumer Credit Card Protection Coalition,CONSUMER CREDIT CARD PROTECTION COALITION,1336,49
101064776613325,Charles Tyrwhitt,These ads ran without a disclaimer,1326,1
58433611572,Seventh Generation,SEVENTH GENERATION INC,1294,2
201470373308396,BMO US,BMO Harris Bank,1293,4
104295601633638,American Cornerstone Institute,American Cornerstone Institute Inc,1244,136
203805062990264,Ben Shapiro,The Daily Wire,1233,11
263964726952673,NYC Votes,New York City Campaign Finance Board,1223,12
961721213983629,ExxonMobil Baton Rouge,EXXON MOBIL CORPORATION,1220,26
487571108071357,Affordable Healthcare Coalition of NC,Affordable Healthcare Coalition of NC,1207,5
115379705206001,U.S. Department of Homeland Security Blue Campaign,U.S Department of Homeland Security Blue Campaign,1185,24
7263476274,Mercy Corps,Mercy Corps,1183,83
113496178208014,Protecting Our Democracy,Protecting Our Democracy,1180,16
13885075114,Action Against Hunger USA,ACTION AGAINST HUNGER - USA,1176,95
140471979488965,Paul Bettencourt,Friends of Paul Bettencourt,1160,11
100485764982266,Only One,Only One,1146,4
317158175535179,BitLife,These ads ran without a disclaimer,1137,6
152264148166020,Moms Clean Air Force,Moms Clean Air Force,1136,34
20787991568,Senate Democrats,DSCC,1130,39
455362921562545,American Exploration & Production Council,American Exploration & Production Council Inc,1126,34
104933662932387,CreativeFuture,CreativeFuture,1119,2
648704588651914,March On,March On,1086,3
167586229923327,World Food Program USA,World Food Program USA,1079,14
114710126648118,Republican Dogs,Republican Dogs,1078,134
192013990902459,Roy Cooper,Cooper for North Carolina,1066,7
100540971962779,Localyst,"Accelerate Change, Inc.",1066,2
8934429638,Planned Parenthood Action,Planned Parenthood Action Fund,1060,3
665345483483486,NRA - National Rifle Association of America,NATIONAL RIFLE ASSN OF AMERICA,1055,74
149220264647,ADL - Anti-Defamation League,Anti-Defamation League,1051,19
100220286326917,Coalition for Fantasy Sports,Fantasy Sports Operator Coalition,1038,18
19984154032,Great Performances l PBS,WNET,1034,24
121940824138795,North Carolina Association of Health Plans,"North Carolina Association of Health Plans, Inc",1034,13
