Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
122258358636926,Sound of Freedom Movie,"Sound of Freedom, LLC",427291,70
100364185463048,Angel Studios,"Angel Studios, Inc.",62007,6
107483817554072,WorkMoney,WorkMoney,26143,58
118152441212175,Digital Innovation for America,Digital Innovation for America,20868,255
102915374460262,Shell USA,Shell,20167,36
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,16922,176
12375354406,USO,United Service Organizations,15901,42
103875099042033,DailyWire+,The Daily Wire,14321,17
11465191261,JPMorgan Chase & Co.,"JPMORGAN CHASE BANK, NA",13301,13
1155212867963791,AFP Action,"AMERICANS FOR PROSPERITY ACTION, INC.(AFP ACTION)",11792,237
100249953038234,Capital Access Alliance,Capital Access Alliance,10474,105
123450447708791,Energy Upgrade California,California Public Utilities Commission,9671,54
385473284886474,Hillsdale College,Hillsdale College,9146,116
201248453800242,My Pay My Say,Mackinac Center for Public Policy,8607,28
6514736316,Walden University,Walden University,8451,8
145917588805718,Dr Jordan B Peterson,The Daily Wire,8357,12
314499212242,Pfizer,Pfizer Inc.,8176,115
18982436812,ACLU,American Civil Liberties Union,6810,95
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,6791,177
57259033959,AARP,AARP,6703,147
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,6606,369
1589261434655726,Advocate Alliance Group,Advocate Alliance Group LLC,6397,1
10128918116,Gavin Newsom,Campaign for Democracy Committee,6289,9
92925746942,Judicial Watch,Judicial Watch,6184,113
8492293163,Environmental Defense Fund,Environmental Defense Fund,6152,125
592707041080920,Stand Together,Stand Together Chamber of Commerce Inc.,5606,77
172758932738142,PhRMA,PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,5551,27
655729801170405,Planned Parenthood Maine Action Fund,Planned Parenthood Maine Action Fund,5540,10
7860876103,Joe Biden,BIDEN VICTORY FUND,5420,100
175951519123368,Delbert Hosemann,Delbert Hosemann,5112,13
203197030603239,8 Billion Trees,8 Billion Trees LLC,5005,21
106582544906565,Maine Affordable Energy,Maine Affordable Energy,4778,7
152759126824,Enbridge,Enbridge Inc.,4506,16
1461100540775171,The Tuttle Twins,LIBERTAS INSTITUTE,4326,132
21492729544,Catholic Relief Services,CATHOLIC RELIEF SERVICES - UNITED STATES CONFERENCE OF CATHOLIC BISHOPS,4191,42
6041057841,The Humane Society of the United States,"HUMANE SOCIETY OF THE UNITED STATES, THE",4064,41
147368882623027,Black Futures Lab,Black Futures Lab,3819,17
6204742571,Sierra Club,SIERRA CLUB,3601,20
533987556776948,Campaign for Sustainable Rx Pricing,Campaign for Sustainable Rx Pricing,3554,78
80562389320,NARAL Pro-Choice America,NARAL PRO-CHOICE AMERICA CORP,3545,123
110483677935904,Team DeSantis,Ron DeSantis for President,3450,183
76470053424,TIAA,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA,3359,16
102310491882678,Smart Daily Digest,Smart Daily Digest LLC,3232,19
109847782136071,Coalition to Stop Reckless Gambling,Coalition to Stop Reckless Gambling,3200,6
200650357207240,I Love My Freedom,I Love My Freedom,3187,70
114860291568624,Defending Bluegrass Values,Defending Bluegrass Values,3185,20
925007000949719,ExxonMobil,EXXON MOBIL CORPORATION,3161,53
349068689306,Tim Scott,Tim Scott for America,3143,93
283268564212,Robert Rivas,Robert Rivas for Assembly 2024,2954,4
153080620724,Donald J. Trump,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,2950,40
100591845925552,EMILY's List Action,Emily's List Action,2947,36
124029605075,The Partnership to Fight Chronic Disease,The Partnership to Fight Chronic Disease,2912,3
100410338482377,American Property Owners Alliance,American Property Owners Alliance,2804,24
309308412520731,Sandy Hook Promise,Sandy Hook Promise,2662,21
192448150001,Jeff Anderson & Associates,Jeffrey R Anderson PA,2596,64
211498145554382,Americans for a Balanced Budget,Americans for a Balanced Budget,2520,12
376776419037747,Turning Point USA,"Turning Point USA, Inc.",2507,37
1316372698453411,Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez for Congress,2500,150
1562713090633117,Operation Underground Railroad,OPERATION UNDERGROUND RAI,2475,27
112258312240526,Con Edison,"CONSOLIDATED EDISON COMPANY OF NEW YORK, INC.",2464,8
167239703641594,Doug Burgum,"DOUG BURGUM FOR AMERICA, INC.",2418,125
104095962704249,SOS America PAC,SOS America PAC,2405,77
58433611572,Seventh Generation,SEVENTH GENERATION INC,2404,7
495170667357093,Electronic Payments Coalition,ELECTRONIC PAYMENTS COALITION INC,2307,8
15239367801,The Wilderness Society,"WILDERNESS SOCIETY, THE",2307,90
23875187730,Feeding America,Feeding America,2274,12
1958912674200535,The Pour Over,Pour Over,2255,12
162678203751209,Gilead Sciences,GILEAD SCIENCES INC,2218,13
6266829799,Sherrod Brown,FRIENDS OF SHERROD BROWN,2213,62
6012633110,Communications Workers of America,"COMMUNICATIONS WORKERS OF AMERICA, AFL-CIO, CLC",2175,6
49651563727,Live Action,Live Action,2169,88
340153562850578,Tim Tebow,TIM TEBOW FOUNDATION,2081,6
570092813023833,Matt Walsh,The Daily Wire,2062,17
124590333958971,Vote No in August: Protect One Person One Vote,One Person One Vote,2014,1
25852730092,Care2,"Care2.com, Inc",1969,4
112314627622757,Merchants Payments Coalition,"Merchants Payments Coalition, Inc.",1932,9
60326619815,Asian Pacific American Institute for Congressional Studies (APAICS),Asian Pacific American Institute for Congressional Studies (APAICS),1913,48
118716697842551,NC SAFE,NC Department of Public Safety,1883,8
104094415337871,Abuse Victim Claims,Tort Group LLC,1878,4
103375628943529,Adam Frisch,Adam for Colorado,1873,15
288536308709632,Stand with Grocery Workers,United Food and Commercial Workers International,1871,3
366741496830,Southern California Edison (SCE),Southern California Edison,1849,54
109999331898234,My Affordable Care Act,The Burial Solution,1817,28
897994503631860,HealthInsurance.net,ASSURANCE IQ INC,1806,9
