Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
122258358636926,Sound of Freedom Movie,"Sound of Freedom, LLC",174000,101
107483817554072,WorkMoney,WorkMoney,47101,46
104095962704249,SOS America PAC,SOS America PAC,35542,158
7860876103,Joe Biden,BIDEN VICTORY FUND,32414,187
104764865532188,Assistance for American,Assistance for American,30102,316
100364185463048,Angel Studios,"Angel Studios, Inc.",19721,9
102915374460262,Shell USA,Shell,18414,36
172758932738142,PhRMA,PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,17406,45
167239703641594,Doug Burgum,"DOUG BURGUM FOR AMERICA, INC.",15106,116
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,13364,177
11465191261,JPMorgan Chase & Co.,"JPMORGAN CHASE BANK, NA",12926,13
1255705481272786,America250,AMERICA 250 FOUNDATION INC,11936,138
18982436812,ACLU,American Civil Liberties Union,11120,111
106244251043808,America's Plastic Makers,"AMERICAN CHEMISTRY COUNCIL, INC.",10886,92
118152441212175,Digital Innovation for America,Digital Innovation for America,10307,240
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,10177,434
1562713090633117,Operation Underground Railroad,OPERATION UNDERGROUND RAI,9620,61
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,9568,155
385473284886474,Hillsdale College,Hillsdale College,9089,165
123450447708791,Energy Upgrade California,California Public Utilities Commission,8947,61
103875099042033,DailyWire+,The Daily Wire,8096,49
201248453800242,My Pay My Say,Mackinac Center for Public Policy,8049,28
10128918116,Gavin Newsom,Campaign for Democracy Committee,7757,12
8492293163,Environmental Defense Fund,Environmental Defense Fund,7352,286
108547455113940,Our America,Our America,6827,54
92925746942,Judicial Watch,Judicial Watch,6434,114
897994503631860,HealthInsurance.net,ASSURANCE IQ INC,6428,23
145917588805718,Dr Jordan B Peterson,The Daily Wire,6186,12
6514736316,Walden University,Walden University,6139,8
102310491882678,Smart Daily Digest,Smart Daily Digest LLC,6108,28
1589261434655726,Advocate Alliance Group,Advocate Alliance Group LLC,5954,1
203197030603239,8 Billion Trees,8 Billion Trees LLC,5909,24
592707041080920,Stand Together,Stand Together Chamber of Commerce Inc.,5738,96
127225910653607,PragerU,PragerU,5715,122
57259033959,AARP,AARP,5511,86
175951519123368,Delbert Hosemann,Delbert Hosemann,5230,19
116821227998416,Protect Women Ohio,Protect Women Ohio,5227,14
135880909935010,Francis Suarez,"SUAREZ FOR PRESIDENT, INC.",5141,117
