Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
122258358636926,Sound of Freedom Movie,"Sound of Freedom, LLC",66671,25
111994897803195,What's Good,Rare with Facebook Ad Credits,29366,21
10128918116,Gavin Newsom,Campaign for Democracy PAC,28450,20
107483817554072,WorkMoney,WorkMoney,25849,235
106244251043808,America's Plastic Makers,"AMERICAN CHEMISTRY COUNCIL, INC.",20704,73
103552914774916,Science Moms,"Potential Energy Coalition, Inc. with Facebook ad credits",19429,18
851220855030432,J.P. Morgan,"JPMORGAN CHASE BANK, NA",16791,15
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,14818,386
7860876103,Joe Biden,BIDEN VICTORY FUND,13315,150
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,12435,120
570092813023833,Matt Walsh,The Daily Wire,12286,53
103875099042033,DailyWire+,The Daily Wire,12111,12
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,10662,644
1639787246275062,Singh,These ads ran without a disclaimer,9954,69
76470053424,TIAA,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA,9870,16
6514736316,Walden University,Walden University,9107,8
431891506856669,Dove,Unilever,8433,12
123450447708791,Energy Upgrade California,California Public Utilities Commission,8319,44
201248453800242,My Pay My Say,Mackinac Center for Public Policy,8182,28
21090771700,Gun Owners of America,Gun Owners of America,7400,36
385473284886474,Hillsdale College,Hillsdale College,7329,94
18982436812,ACLU,American Civil Liberties Union,6952,80
8492293163,Environmental Defense Fund,Environmental Defense Fund,6503,161
104623832132932,Perry Johnson,PERRY JOHNSON FOR PRESIDENT INC.,6466,106
11791104453,NRDC,Natural Resources Defense Council,6396,246
110483677935904,Team DeSantis,Ron DeSantis for President,6379,215
57259033959,AARP,AARP,6340,115
203197030603239,8 Billion Trees,8 Billion Trees LLC,6297,31
100249953038234,Capital Access Alliance,Capital Access Alliance,6248,98
18709174006,National Audubon Society,"NATIONAL AUDUBON SOCIETY, INC.",5877,217
100364185463048,Angel Studios,"Angel Studios, Inc.",5696,1
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,5650,3
104394262049761,Jeremy's Razors,The Daily Wire,5613,44
92925746942,Judicial Watch,Judicial Watch,5581,111
127225910653607,PragerU,PragerU,5481,197
172758932738142,PhRMA,PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,5305,52
15771560300,Earthjustice,EARTHJUSTICE,5047,147
144105014310,Panasonic North America,Panasonic North America,5037,108
897994503631860,HealthInsurance.net,ASSURANCE IQ INC,4963,12
104977525752112,Freedom of Patriots,Freedom of Patriots,4961,71
19972147679,SEIU,SEIU,4941,66
153080620724,Donald J. Trump,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,4855,24
253312980194,Community Catalyst,COMMUNITY CATALYST INC,4640,45
7341997111,Conservation International,Conservation International with Facebook Ad Credits,4633,12
6204742571,Sierra Club,SIERRA CLUB,4585,58
108715768240523,Citizens Bulletin,House Majority Forward,4441,36
106583555450073,Bidencare Health Plans,Obamacareplans,4427,123
1461100540775171,The Tuttle Twins,LIBERTAS INSTITUTE,4161,212
388608874845516,Joy Ofodu,Unilever USA,4135,3
152759126824,Enbridge,Enbridge Inc.,4126,16
592707041080920,Stand Together,Stand Together Chamber of Commerce Inc.,4042,64
118152441212175,Digital Innovation for America,Digital Innovation for America,3983,113
6041057841,The Humane Society of the United States,"HUMANE SOCIETY OF THE UNITED STATES, THE",3849,62
102310491882678,Smart Daily Digest,Smart Daily Digest LLC,3838,20
24470472733,The Trevor Project,The Trevor Project,3835,56
318196171580489,Ron DeSantis,Ron DeSantis for President,3786,208
109999331898234,My Affordable Care Act,The Burial Solution,3719,53
12375354406,USO,United Service Organizations,3286,59
1155212867963791,AFP Action,"AMERICANS FOR PROSPERITY ACTION, INC.(AFP ACTION)",3275,174
167239703641594,Doug Burgum,"DOUG BURGUM FOR AMERICA, INC.",3086,22
114008535880,Foundation for Individual Rights and Expression,FOUNDATION FOR INDIVIDUAL RIGHTS IN EDUCATION,3082,22
147368882623027,Black Futures Lab,Black Futures Lab,3057,17
1316372698453411,Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez for Congress,3036,119
7263476274,Mercy Corps,Mercy Corps,2976,90
