Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
122258358636926,Sound of Freedom Movie,"Sound of Freedom, LLC",99867,29
111994897803195,What's Good,Rare with Facebook Ad Credits,27938,21
107483817554072,WorkMoney,WorkMoney,26450,166
106244251043808,America's Plastic Makers,"AMERICAN CHEMISTRY COUNCIL, INC.",20077,56
109263975827773,Garnier USA,Garnier USA,18914,40
7860876103,Joe Biden,BIDEN VICTORY FUND,16135,140
102915374460262,Shell USA,Shell,15804,36
1255705481272786,America250,AMERICA 250 FOUNDATION INC,15763,1
103552914774916,Science Moms,"Potential Energy Coalition, Inc. with Facebook ad credits",15040,18
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,13539,127
110483677935904,Team DeSantis,Ron DeSantis for President,11480,279
8492293163,Environmental Defense Fund,Environmental Defense Fund,10194,157
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,10121,581
10128918116,Gavin Newsom,Campaign for Democracy PAC,9783,7
103875099042033,DailyWire+,The Daily Wire,9739,14
118152441212175,Digital Innovation for America,Digital Innovation for America,9288,290
123450447708791,Energy Upgrade California,California Public Utilities Commission,9241,54
76470053424,TIAA,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA,9148,16
570092813023833,Matt Walsh,The Daily Wire,8887,48
6514736316,Walden University,Walden University,8867,8
100249953038234,Capital Access Alliance,Capital Access Alliance,8591,140
104623832132932,Perry Johnson,PERRY JOHNSON FOR PRESIDENT INC.,8566,72
385473284886474,Hillsdale College,Hillsdale College,8427,141
127225910653607,PragerU,PragerU,7577,165
201248453800242,My Pay My Say,Mackinac Center for Public Policy,7531,28
243184199040637,Caring Across Generations,Caring Across Generations,7504,36
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,7286,418
431891506856669,Dove,Unilever,7250,12
100364185463048,Angel Studios,"Angel Studios, Inc.",7114,4
57259033959,AARP,AARP,6605,141
1589261434655726,Advocate Alliance Group,Advocate Alliance Group LLC,6545,2
203197030603239,8 Billion Trees,8 Billion Trees LLC,6416,31
1005566252861190,VOTEPROCHOICE,#VOTEPROCHOICE PAC,6353,11
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,6331,5
18982436812,ACLU,American Civil Liberties Union,6264,77
109092142462587,Adam Schiff,SCHIFF FOR SENATE,5877,27
11791104453,NRDC,Natural Resources Defense Council,5654,240
19972147679,SEIU,SEIU,5485,72
592707041080920,Stand Together,Stand Together Chamber of Commerce Inc.,5385,66
92925746942,Judicial Watch,Judicial Watch,5336,109
18709174006,National Audubon Society,"NATIONAL AUDUBON SOCIETY, INC.",5321,207
15771560300,Earthjustice,EARTHJUSTICE,5115,134
172758932738142,PhRMA,PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,5084,51
144105014310,Panasonic North America,Panasonic North America,4874,104
7341997111,Conservation International,Conservation International with Facebook Ad Credits,4812,12
67626834312,National Women's Law Center,National Women's Law Center,4620,18
7030901126,Campaign for Tobacco-Free Kids,Campaign for Tobacco-Free Kids,4404,23
897994503631860,HealthInsurance.net,ASSURANCE IQ INC,4392,19
114167895375664,Cherokee Nation,"CHEROKEE NATION, THE",4383,6
388608874845516,Joy Ofodu,Unilever USA,4273,3
104977525752112,Freedom of Patriots,Freedom of Patriots,4262,102
1461100540775171,The Tuttle Twins,LIBERTAS INSTITUTE,4146,218
428821014132730,Katie Porter,KATIE PORTER FOR SENATE,4136,94
6041057841,The Humane Society of the United States,"HUMANE SOCIETY OF THE UNITED STATES, THE",4049,48
1155212867963791,AFP Action,"AMERICANS FOR PROSPERITY ACTION, INC.(AFP ACTION)",3975,173
153080620724,Donald J. Trump,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,3662,62
152759126824,Enbridge,Enbridge Inc.,3660,16
6204742571,Sierra Club,SIERRA CLUB,3658,29
200650357207240,I Love My Freedom,I Love My Freedom,3415,96
114008535880,Foundation for Individual Rights and Expression,FOUNDATION FOR INDIVIDUAL RIGHTS IN EDUCATION,3120,21
