Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
122258358636926,Sound of Freedom Movie,"Sound of Freedom, LLC",148976,101
104764865532188,Assistance for American,Assistance for American,41149,246
107483817554072,WorkMoney,WorkMoney,40960,46
7860876103,Joe Biden,BIDEN VICTORY FUND,32539,211
172758932738142,PhRMA,PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,21117,49
100364185463048,Angel Studios,"Angel Studios, Inc.",19171,9
102915374460262,Shell USA,Shell,18203,36
104095962704249,SOS America PAC,SOS America PAC,16936,172
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,15987,177
167239703641594,Doug Burgum,"DOUG BURGUM FOR AMERICA, INC.",15228,115
11465191261,JPMorgan Chase & Co.,"JPMORGAN CHASE BANK, NA",12545,16
1255705481272786,America250,AMERICA 250 FOUNDATION INC,11652,102
18982436812,ACLU,American Civil Liberties Union,10844,112
106244251043808,America's Plastic Makers,"AMERICAN CHEMISTRY COUNCIL, INC.",10492,93
1562713090633117,Operation Underground Railroad,OPERATION UNDERGROUND RAI,9558,84
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,9187,162
123450447708791,Energy Upgrade California,California Public Utilities Commission,8988,59
385473284886474,Hillsdale College,Hillsdale College,8777,164
103875099042033,DailyWire+,The Daily Wire,8676,21
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,8656,469
118152441212175,Digital Innovation for America,Digital Innovation for America,8527,107
201248453800242,My Pay My Say,Mackinac Center for Public Policy,8049,28
897994503631860,HealthInsurance.net,ASSURANCE IQ INC,7790,23
10128918116,Gavin Newsom,Campaign for Democracy Committee,7331,6
8492293163,Environmental Defense Fund,Environmental Defense Fund,7286,284
145917588805718,Dr Jordan B Peterson,The Daily Wire,6810,10
108547455113940,Our America,Our America,6768,54
6514736316,Walden University,Walden University,6329,8
203197030603239,8 Billion Trees,8 Billion Trees LLC,6329,26
592707041080920,Stand Together,Stand Together Chamber of Commerce Inc.,5918,83
1589261434655726,Advocate Alliance Group,Advocate Alliance Group LLC,5877,1
116821227998416,Protect Women Ohio,Protect Women Ohio,5770,14
92925746942,Judicial Watch,Judicial Watch,5685,109
57259033959,AARP,AARP,5580,86
102310491882678,Smart Daily Digest,Smart Daily Digest LLC,5293,30
175951519123368,Delbert Hosemann,Delbert Hosemann,5198,19
7030901126,Campaign for Tobacco-Free Kids,TOBACCO-FREE KIDS ACTION FUND,4525,4
1155212867963791,AFP Action,"AMERICANS FOR PROSPERITY ACTION, INC.(AFP ACTION)",4385,69
